Model,Score
gpt-4-0125-preview,78.0
gpt-4o-2024-05-13,79.2
claude-3-5-sonnet-2024-06-20,79.3
yi-lightning,81.5
gpt-4-turbo-2024-04-09,82.6
llama-3.1-nemotron-70b-instruct,84.9
athene-v2-chat,85.0
claude-3-5-sonnet-2024-10-22,85.2
o1-preview-2024-09-12,90.4
o1-mini-2024-09-12,92.0
