Statement,Country,% of respondents
My health ,Thailand,51%
"My entertainment options  (television/video content,  movies, music, books) ",Thailand,67%
The amount of time it takes me  to get things done ,Thailand,65%
My job ,Thailand,52%
The job market ,Thailand,51%
The economy in my country ,Thailand,53%
The amount of time it takes me  to get things done ,Turkey,62%
"My entertainment options  (television/video content,  movies, music, books) ",Turkey,60%
My health ,Turkey,43%
The job market ,Turkey,47%
My job ,Turkey,41%
The economy in my country ,Turkey,35%
The economy in my country ,United States,24%
My health ,United States,28%
"My entertainment options  (television/video content,  movies, music, books) ",United States,39%
The amount of time it takes me  to get things done ,United States,43%
My job ,United States,31%
The job market ,United States,21%
