Statement,Country,% agreeing with statement
I have a good understanding of what  artificial intelligence is ,Germany,60%
Products and services using artificial intelligence make me nervous,Germany,44%
Products and services using  artificial intelligence  make me excited,Germany,46%
Products and services using artificial intelligence make me nervous,Great Britain,64%
I have a good understanding of what  artificial intelligence is ,Great Britain,63%
I know which types of products and  services use artificial intelligence ,Great Britain,40%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Great Britain,38%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Great Britain,58%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Great Britain,44%
I trust that companies that use  artificial intelligence will protect  my personal data ,Great Britain,41%
Products and services using  artificial intelligence  make me excited,Great Britain,38%
I trust that companies that use  artificial intelligence will protect  my personal data ,Hungary,64%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Hungary,64%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Hungary,64%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Hungary,37%
I know which types of products and  services use artificial intelligence ,Hungary,41%
I have a good understanding of what  artificial intelligence is ,Hungary,75%
Products and services using  artificial intelligence  make me excited,Hungary,47%
Products and services using artificial intelligence make me nervous,Hungary,44%
Products and services using artificial intelligence make me nervous,India,51%
I know which types of products and  services use artificial intelligence ,India,62%
Products and services using  artificial intelligence  make me excited,India,63%
I trust that companies that use  artificial intelligence will protect  my personal data ,India,60%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,India,63%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,India,65%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,India,63%
I have a good understanding of what  artificial intelligence is ,India,64%
Products and services using artificial intelligence make me nervous,Indonesia,48%
Products and services using  artificial intelligence  make me excited,Indonesia,76%
I trust that companies that use  artificial intelligence will protect  my personal data ,Indonesia,66%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Indonesia,68%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Indonesia,80%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Indonesia,71%
I know which types of products and  services use artificial intelligence ,Indonesia,80%
I have a good understanding of what  artificial intelligence is ,Indonesia,86%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Ireland,42%
Products and services using artificial intelligence make me nervous,Ireland,67%
Products and services using  artificial intelligence  make me excited,Ireland,40%
I have a good understanding of what  artificial intelligence is ,Ireland,66%
I know which types of products and  services use artificial intelligence ,Ireland,40%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Ireland,42%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Ireland,59%
I trust that companies that use  artificial intelligence will protect  my personal data ,Ireland,42%
Products and services using artificial intelligence make me nervous,Italy,43%
I know which types of products and  services use artificial intelligence ,Italy,51%
I trust that companies that use  artificial intelligence will protect  my personal data ,Italy,58%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Italy,61%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Italy,60%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Italy,40%
