Statement,Country,pp. change
I have a good understanding of what  artificial intelligence is ,Global,3%
I know which types of products and  services use artificial intelligence ,Global,2%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Global,1%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Global,6%
Products and services using artificial  intelligence make me nervous ,Global,11%
Products and services using artificial  intelligence make me nervous ,Argentina,14%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Argentina,-5%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Argentina,7%
I have a good understanding of what  artificial intelligence is ,Argentina,8%
I know which types of products and  services use artificial intelligence ,Argentina,4%
I have a good understanding of what  artificial intelligence is ,Australia,4%
I know which types of products and  services use artificial intelligence ,Australia,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Australia,3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Australia,11%
Products and services using artificial  intelligence make me nervous ,Australia,13%
Products and services using artificial  intelligence make me nervous ,Belgium,9%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Belgium,9%
I have a good understanding of what  artificial intelligence is ,Belgium,5%
I know which types of products and  services use artificial intelligence ,Belgium,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Belgium,-3%
I have a good understanding of what  artificial intelligence is ,Brazil,-5%
I know which types of products and  services use artificial intelligence ,Brazil,-1%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Brazil,2%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Brazil,1%
Products and services using artificial  intelligence make me nervous ,Brazil,12%
I have a good understanding of what  artificial intelligence is ,Canada,6%
I know which types of products and  services use artificial intelligence ,Canada,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Canada,5%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Canada,17%
Products and services using artificial  intelligence make me nervous ,Canada,14%
Products and services using artificial  intelligence make me nervous ,Chile,15%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Chile,2%
I know which types of products and  services use artificial intelligence ,Chile,-6%
I have a good understanding of what  artificial intelligence is ,Chile,-11%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Chile,-7%
I have a good understanding of what  artificial intelligence is ,China,5%
I know which types of products and  services use artificial intelligence ,China,5%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,China,5%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,China,6%
Products and services using artificial  intelligence make me nervous ,China,4%
Products and services using artificial  intelligence make me nervous ,Colombia,9%
I have a good understanding of what  artificial intelligence is ,Colombia,0%
I know which types of products and  services use artificial intelligence ,Colombia,-2%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Colombia,-3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Colombia,12%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,France,3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,France,12%
Products and services using artificial  intelligence make me nervous ,France,17%
I know which types of products and  services use artificial intelligence ,France,7%
I have a good understanding of what  artificial intelligence is ,France,11%
Products and services using artificial  intelligence make me nervous ,Germany,7%
I know which types of products and  services use artificial intelligence ,Germany,4%
I have a good understanding of what  artificial intelligence is ,Germany,10%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Germany,8%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Germany,15%
I know which types of products and  services use artificial intelligence ,Great Britain,3%
I have a good understanding of what  artificial intelligence is ,Great Britain,6%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Great Britain,5%
Products and services using artificial  intelligence make me nervous ,Great Britain,14%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Great Britain,12%
I have a good understanding of what  artificial intelligence is ,Hungary,8%
I know which types of products and  services use artificial intelligence ,Hungary,3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Hungary,9%
Products and services using artificial  intelligence make me nervous ,Hungary,13%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Hungary,-1%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,India,-9%
I have a good understanding of what  artificial intelligence is ,India,-8%
I know which types of products and  services use artificial intelligence ,India,-7%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,India,-4%
