Statement,Country,pp. change
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Great Britain,3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Great Britain,0%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Great Britain,-2%
I trust that companies that use  artificial intelligence will protect  my personal data ,Great Britain,-1%
Products and services using  artificial intelligence  make me excited ,Great Britain,-3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Hungary,2%
Products and services using  artificial intelligence  make me excited ,Hungary,1%
I know which types of products and  services use artificial intelligence ,Hungary,3%
I have a good understanding of what  artificial intelligence is ,Hungary,2%
I trust that companies that use  artificial intelligence will protect  my personal data ,Hungary,4%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Hungary,-2%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Hungary,1%
Products and services using artificial  intelligence make me nervous ,Hungary,-2%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,India,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,India,0%
I know which types of products and  services use artificial intelligence ,India,0%
I have a good understanding of what  artificial intelligence is ,India,0%
Products and services using  artificial intelligence  make me excited ,India,-3%
I trust that companies that use  artificial intelligence will protect  my personal data ,India,-4%
Products and services using artificial  intelligence make me nervous ,India,-6%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,India,-3%
Products and services using  artificial intelligence  make me excited ,Indonesia,1%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Indonesia,-7%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Indonesia,1%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Indonesia,-1%
I know which types of products and  services use artificial intelligence ,Indonesia,4%
I have a good understanding of what  artificial intelligence is ,Indonesia,2%
Products and services using artificial  intelligence make me nervous ,Indonesia,0%
I trust that companies that use  artificial intelligence will protect  my personal data ,Indonesia,-2%
