state,bill_id,bill_url,title,status,date_of_last_action,author,topics,summary,history,year
Arizona,AZ H   2482,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2023000H2482&ciq=ncsl&client_md=ee0f5dccb66af8595f51318ae43fc9f5&mode=current_text,Appropriations and Crime Victim Notification Fund,Enacted,,,Government Use,"Provides that the Law Enforcement Crime Victim Notification Fund is established consisting of legislative appropriations, enables the county or city, or both, or tribal law enforcement agency or university police department-based deployment of an automated crime victim notification system to a user base consisting of law enforcement agencies, appropriates funds.",,2023
Arizona,AZ S   1565,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2023000S1565&ciq=ncsl&client_md=009f86572673187364f38c98b0425a99&mode=current_text,Ballot Processing and Electronic Adjudication and Limit,Vetoed,,,Elections,"Relates to ballot processing, relates to electronic adjudication, relates to limitation.",,2023
Arkansas,AR H   1768,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2023000H1768&ciq=ncsl&client_md=62f3ad9839a148e13a2e76a93459cd32&mode=current_text,Railroad Train Defectors Standard Requirements,Failed - Adjourned,,,Private Sector Use,Creates standard requirements concerning railroad train defect detectors.,,2023
California,CA A    302,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A302&ciq=ncsl&client_md=ff50b1aabd3b42d9e3b51e6335aac82c&mode=current_text,Department of Technology: Automated Decision Systems,Enacted,,,Government Use,"Requires the Department of Technology, in coordination with other interagency bodies, to conduct, on or before specified date, a comprehensive inventory of all high-risk automated decision systems, as defined, that have been proposed for use, development, or procurement by, or are being used, developed, or procured by, state agencies.",,2023
California,CA A    331,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A331&ciq=ncsl&client_md=7ab09b6e87185307686e10f13363fbb1&mode=current_text,Automated Decision Tools,Pending,,,Impact Assessment; Notification; Private Sector Use; Responsible Use,"Relates to the State Fair Employment and Housing Act. Requires a deployer and a developer of an automated decision tool to perform an impact assessment for any such tool the deployer uses that includes a statement of the purpose of the tool and its intended benefits, uses, and deployment contexts. Requires a public attorney to, before commencing an action for injunctive relief, provide written notice to a deployer or developer of the alleged violations and provide a specified opportunity to cure violations.",,2023
California,CA A    459,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A459&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,Contracts Against Public Policy: Personal,Pending,,,Private Sector Use,Provides that a provision in an agreement between an individual and any other person for the performance of personal or professional services is contrary to public policy and deemed unconscionable if the provision meets specified conditions relating to the use of a digital replica of the voice or likeness of an individual in lieu of the work of the individual or to train a generative artificial intelligence system.,,2023
California,CA A   1282,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1282&ciq=ncsl&client_md=89c7f589adbe6dc63a2a14bb4ea53329&mode=current_text,Mental Health: Impacts of Social Media,Pending,,,Responsible Use,"Requires the Mental Health Services Oversight and Accountability Commission to explore, among other things, the persons and populations that use social media and the negative mental health risks associated with social media and artificial intelligence. Requires the commission to report to specified policy committees of the Legislature a statewide strategy to understand, communicate, and mitigate mental health risks associated with the use of social media by children and youth.",,2023
California,CA A   1502,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1502&ciq=ncsl&client_md=3f9f7af3b27bc7fafa929381491756f8&mode=current_text,Health Care Coverage: Discrimination,Pending,,,Health Use; Private Sector Use,"Prohibits a health care service plan or health insurer from discriminating on the basis of race, color, national origin, sex, age, or disability through the use of clinical algorithms in its decision-making.",,2023
California,CA ACR   96,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000ACR96&ciq=ncsl&client_md=78b6de6e73190d1969b355c7ee7d8dbd&mode=current_text,23 Asilomar AI Principles,Pending,,,Government Use; Private Sector Use; Responsible Use,Expresses the support of the Legislature for the 23 Asilomar AI Principles as guiding values for the development of artificial intelligence and of related public policy.,,2023
California,CA AJR    6,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000AJR6&ciq=ncsl&client_md=00e53513a033c3ed69b6a5a32c8d5251&mode=current_text,Artificial Intelligence,Pending,,,,Urges the U.S. government to impose an immediate moratorium on the training of AI systems more powerful than GPT-4 for at least six months to allow time to develop much-needed AI governance systems.,,2023
California,CA S    294,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000S294&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,Artificial Intelligence: Regulation,Pending,,,Effect on Labor/Employment; Responsible Use,"Expresses the intent of the Legislature to enact legislation related to artificial intelligence that would relate to, among other things, establishing standards and requirements for the safe development, secure deployment, and responsible scaling of frontier artificial intelligence models in the state market by, among other things, establishing a framework of disclosure requirements for AI models.",,2023
California,CA S    313,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000S313&ciq=ncsl&client_md=b0847d775babc9989a22f566a2f23bab&mode=current_text,Department of Technology: Artificial Intelligence,Pending,,,Government Use; Oversight/Governance,Requires any state agency that utilizes generative artificial intelligence to directly communicate with a natural person to provide notice to that person that the interaction with the state agency is being communicated through artificial intelligence. Requires the state agency to provide instructions to inform the natural person how they can directly communicate with a natural person from the state agency.,,2023
California,CA S    398,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000S398&ciq=ncsl&client_md=5acc922f37d850366c8eb45238b62ffb&mode=current_text,Department of Technology: Advanced Technology: Research,Pending,,,Government Use,"Provides for the Artificial Intelligence for California Research Act, which would require the Department of Technology, upon appropriation by the Legislature, to develop and implement a comprehensive research plan to study the feasibility of using advanced technology to improve state and local government services. Requires the research plan to include, among other things, an analysis of the potential benefits and risks of using artificial intelligence technology in government services.",,2023
California,CA S    721,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000S721&ciq=ncsl&client_md=e76eb2ef1873e388de217eefc0d399f7&mode=current_text,California Interagency AI Working Group,Pending,,,Studies,"Creates the California Interagency AI Working Group to deliver a report to the Legislature regarding artificial intelligence. Requires the working group members to be Californians with expertise in at least two of certain areas, including computer science, artificial intelligence, and data privacy. Requires the report to include a recommendation of a definition of artificial intelligence as it pertains to its use in technology for use in legislation.",,2023
California,CA SCR   17,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000SCR17&ciq=ncsl&client_md=6b74db66d6ebf46a127c5185d0eea09e&mode=current_text,Artificial Intelligence,Adopted,,,Responsible Use,Affirms the state legislature's commitment to President Biden's vision for safe artificial intelligence and the principles outlined in the Blueprint for an AI Bill of Rights. Expresses the Legislature's commitment to examining and implementing those principles in its legislation and policies related to the use and deployment of automated systems.,,2023
Colorado,CO S     32,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2023000S32&ciq=ncsl&client_md=9ab8fc414a3791cb4af5a1ff52adec81&mode=current_text,Wildfire Detection Technology Pilot Program,Failed - Adjourned,,,Government Use,"Provides that the Center of Excellence for Advanced Technology Aerial Firefighting shall implement one or more pilot programs using remote camera technology to detect, identify, or confirm the existence of wildfires in the wildland-urban interface, provides that the pilot program or programs may include the use of artificial intelligence technologies, appropriates funds to the Department of Public Safety.",,2023
Connecticut,CT S   1103,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2023000S1103&ciq=ncsl&client_md=783378b6b29fa00fdab69672348011c6&mode=current_text,Artificial Intelligence Automated Decision,Enacted,,,Government Use; Oversight/Governance; Responsible Use,"Relates to artificial intelligence, automated decision-making and personal data privacy, provides that the Office of Policy and Management shall develop and establish policies and procedures concerning the development, procurement, implementation, utilization and ongoing assessment of systems that employ artificial intelligence and are in use by State agencies.",,2023
