Jurisdiction,Legislative process,Introduced,In committee,In cross chamber,In cross committee,Passed,Signed,Statute/bill,Scope,Governance,Program and documentation,Assessments,Training,Responsible individual,Transparency,General notice,Labeling/notification,Explanation/incident reporting,Developer documentation,Assurance,Registration,Third-party review,Individual rights,Opt out/appeal,Nondiscrimination,url
Arkansas,INACTIVE BILLS,,1,,,,,SB 258,D,,1,1,,,,1.2,1,1.2,2,,,,,1,1.2,https://arkleg.state.ar.us/Bills/Detail?id=sb258&ddBienniumSession=2025%2F2025R
California,,,1,,,,,SB 468,D,,1,,1,1,,,,,,,,,,,,https://leginfo.legislature.ca.gov/faces/billCompareClient.xhtml?bill_id=202520260SB468&showamends=false
Connecticut,,,,1,,,,SB 2,"A,F,D,G",,1.2,1,,,,,1.2,,2.3,,,,,1,"1,2,3",https://www.cga.ct.gov/asp/CGABillStatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB2
Colorado,,1,,,,,,SB 318,D,,1,1,,,,1.2,1,1,2,,,,,1,1,https://leg.colorado.gov/bills/sb24-205
Florida,,,1,,,,,HB 369,G,,,,,,,2,2,,,,,,,,,https://www.flsenate.gov/Session/Bill/2025/369
Idaho,,,1,,,,,HB 127,A,,,,,,,,1,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0127/
Maryland,,,1,,,,,HB 823,G,,,,,,,2,,,,,,,,,,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0823?ys=2025rs
Maryland,,,1,,,,,HB 1331,D,,1,1,,,,1.2,,2,2,,,,,1,1.2,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1331?ys=2025RS
Maryland,,,1,,,,,SB 936,D,,1,1,,,,,1,,2,,,,,1,1.2,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0936?ys=2025rs
Montana,,,1,,,,,SB 452,G,,,,,,,,1,,,,,,,1,,https://bills.legmt.gov/%23/laws/bill/2/LC0068?open_tab=sum
Nevada,,,1,,,,,SB199,A,,2,2,,,,,,,,,2,,,,,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/12246/Overview
New Mexico,,,1,,,,,HB 60,"A,D",,1,1,,,,1.2,1.2,1.2,2,,,,,,1.2,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=60&year=25
New Mexico,,,1,,,,,HB 401,G,,,,,,,,2,2,,,2,2,,,,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=401&year=25
Rhode Island,,,1,,,,,SB 627,"F,D,G",,1.2,1.2,,,,,1.2,2,2,,,,,1,"1,2,3",http://webserver.rilegislature.gov/BillText/BillText25/SenateText25/S0627.pdf
Texas,,,1,,,,,HB 1709,D,,1.2,1.2,,,,,1.2,,2,,,,,,"1,2,3",https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB1709
Texas,,,1,,,,,HB 5496,A,,,,,,,,1,1,,,,,,,1,https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB5496
Texas,,,,,1,,,SB 668,A,,,,,,,1,,,,,,,,,,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB668
Texas,,,1,,,,,SB 2966,D,,1,,,,,,,,,,,,,,,https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=SB2966
Virginia,,,1,,,,,HB 2121,G,,,,,,,,2,,,,,,,,,https://lis.virginia.gov/bill-details/20251/HB2121
Virginia,,,1,,,,, HB 2250,G,,,,,,,2,,,,,,,,,,https://lis.virginia.gov/bill-details/20251/HB2250
Virginia,,,1,,,,,HB 2554,G,,,,,,,,2,,,,,,,,,https://lis.virginia.gov/bill-details/20251/HB2554
Virginia,,,,,,1,,HB 2094,D,,1,1.2,,,,1,1.2,,2,,,,,,1.2,https://lis.virginia.gov/bill-details/20251/HB2094
Washington,,,1,,,,,HB 1168,G,,,,,,,,2,,,,,,,,,https://app.leg.wa.gov/billsummary?BillNumber=1168&Year=2025&Initiative=false
Washington,,,1,,,,,HB 1170,G,,,,,,,2,,,,,,,,,,https://app.leg.wa.gov/billsummary?BillNumber=1170&Year=2025&Initiative=false
