Jurisdiction,Count
California,7
Colorado,1
Hawaii,1
Illinois,4
Iowa,1
Massachusetts,2
Minnesota,1
Nebraska,1
New York,8
Oklahoma,1
Texas,1
Utah,2
Vermont,2
