Year,Total investment (in billions of US dollars),Geographic area
2019,0.056111379,Europe
2020,0.02226687,Europe
2021,0.197967975,Europe
2022,0.582556903,Europe
2023,1.513463294,Europe
2024,1.490262114,Europe
2021,0.71,China
2022,0.004,China
2023,1.152945013,China
2024,2.108698967,China
2019,0.591928631,United States
2020,2.293255737,United States
2021,4.258649663,United States
2022,2.995277856,United States
2023,24.42731097,United States
2024,29.04260806,United States
