Number of AI Job Postings,Generative AI skill,Year
15741,Generative artificial intelligence,2023
4956,Large language modeling,2023
1393,Prompt engineering,2023
3047,ChatGPT,2023
132,Retrieval augmented generation,2023
1323,Generative adversarial networks,2023
64,Microsoft Copilot,2023
2021,Text to speech (TTS),2023
400,Variational autoencoders,2023
44,Multimodal models,2023
66635,Generative artificial intelligence,2024
19562,Large language modeling,2024
6263,Prompt engineering,2024
5664,ChatGPT,2024
2834,Retrieval augmented generation,2024
2213,Generative adversarial networks,2024
1496,Microsoft Copilot,2024
1045,Text to speech (TTS),2024
756,Variational autoencoders,2024
733,Multimodal models,2024
