Year,Average investment (in millions of US dollars)
2013.0,12.394594227817747
2014.0,14.308976669161677
2015.0,16.497891003708283
2016.0,16.712924210731707
2017.0,16.70254398116883
2018.0,20.911894876273653
2019.0,23.765896542483663
2020.0,27.885921148904007
2021.0,36.88449960755961
2022.0,30.064281613195
2023.0,31.648156254473765
2024.0,45.432514742090994
