Date,Geographic area,Relative AI hiring year-over-year ratio
1/1/23,Luxembourg,10.36%
2/1/23,Luxembourg,8.35%
3/1/23,Luxembourg,9.14%
4/1/23,Luxembourg,7.55%
5/1/23,Luxembourg,4.10%
6/1/23,Luxembourg,8.73%
7/1/23,Luxembourg,5.94%
8/1/23,Luxembourg,5.32%
9/1/23,Luxembourg,5.07%
10/1/23,Luxembourg,6.92%
11/1/23,Luxembourg,7.14%
12/1/23,Luxembourg,5.80%
1/1/24,Luxembourg,6.90%
2/1/24,Luxembourg,6.43%
3/1/24,Luxembourg,8.31%
4/1/24,Luxembourg,10.83%
5/1/24,Luxembourg,7.97%
6/1/24,Luxembourg,3.81%
7/1/24,Luxembourg,9.03%
8/1/24,Luxembourg,8.51%
9/1/24,Luxembourg,8.62%
10/1/24,Luxembourg,5.88%
11/1/24,Luxembourg,7.21%
12/1/24,Luxembourg,9.15%
1/1/18,Mexico,60.18%
2/1/18,Mexico,34.95%
3/1/18,Mexico,39.21%
4/1/18,Mexico,30.17%
5/1/18,Mexico,31.27%
6/1/18,Mexico,29.09%
7/1/18,Mexico,32.55%
8/1/18,Mexico,29.66%
9/1/18,Mexico,27.41%
10/1/18,Mexico,28.08%
11/1/18,Mexico,24.29%
12/1/18,Mexico,22.63%
1/1/19,Mexico,18.49%
2/1/19,Mexico,17.66%
3/1/19,Mexico,15.15%
4/1/19,Mexico,17.66%
5/1/19,Mexico,16.63%
6/1/19,Mexico,17.33%
7/1/19,Mexico,13.56%
8/1/19,Mexico,15.81%
9/1/19,Mexico,19.45%
10/1/19,Mexico,17.80%
11/1/19,Mexico,23.01%
12/1/19,Mexico,25.36%
1/1/20,Mexico,25.83%
2/1/20,Mexico,30.55%
3/1/20,Mexico,30.41%
4/1/20,Mexico,30.23%
5/1/20,Mexico,29.21%
6/1/20,Mexico,29.63%
7/1/20,Mexico,31.90%
8/1/20,Mexico,30.15%
9/1/20,Mexico,27.06%
10/1/20,Mexico,28.61%
11/1/20,Mexico,26.94%
12/1/20,Mexico,27.22%
1/1/21,Mexico,28.74%
2/1/21,Mexico,25.68%
3/1/21,Mexico,25.83%
4/1/21,Mexico,24.37%
5/1/21,Mexico,27.48%
6/1/21,Mexico,26.62%
7/1/21,Mexico,25.79%
8/1/21,Mexico,26.35%
9/1/21,Mexico,25.91%
10/1/21,Mexico,23.80%
11/1/21,Mexico,22.05%
12/1/21,Mexico,20.05%
1/1/22,Mexico,17.98%
2/1/22,Mexico,17.29%
3/1/22,Mexico,16.99%
4/1/22,Mexico,16.68%
5/1/22,Mexico,13.34%
6/1/22,Mexico,11.56%
7/1/22,Mexico,9.99%
8/1/22,Mexico,7.88%
9/1/22,Mexico,7.89%
10/1/22,Mexico,8.02%
11/1/22,Mexico,7.37%
12/1/22,Mexico,5.75%
1/1/23,Mexico,4.19%
2/1/23,Mexico,3.36%
3/1/23,Mexico,1.22%
4/1/23,Mexico,-0.05%
5/1/23,Mexico,-0.91%
6/1/23,Mexico,-0.64%
7/1/23,Mexico,-1.31%
8/1/23,Mexico,-0.04%
9/1/23,Mexico,-0.31%
10/1/23,Mexico,-0.13%
11/1/23,Mexico,3.01%
12/1/23,Mexico,5.06%
1/1/24,Mexico,7.51%
2/1/24,Mexico,9.28%
3/1/24,Mexico,12.49%
4/1/24,Mexico,15.20%
5/1/24,Mexico,16.61%
6/1/24,Mexico,19.44%
7/1/24,Mexico,21.96%
8/1/24,Mexico,22.75%
9/1/24,Mexico,24.61%
10/1/24,Mexico,26.06%
11/1/24,Mexico,23.61%
12/1/24,Mexico,24.02%
1/1/18,Netherlands,9.61%
2/1/18,Netherlands,11.25%
3/1/18,Netherlands,11.44%
4/1/18,Netherlands,10.67%
5/1/18,Netherlands,11.02%
6/1/18,Netherlands,12.66%
7/1/18,Netherlands,13.11%
8/1/18,Netherlands,13.50%
9/1/18,Netherlands,14.21%
10/1/18,Netherlands,13.53%
11/1/18,Netherlands,13.88%
12/1/18,Netherlands,13.44%
1/1/19,Netherlands,14.13%
2/1/19,Netherlands,13.87%
3/1/19,Netherlands,14.44%
4/1/19,Netherlands,15.65%
5/1/19,Netherlands,15.83%
6/1/19,Netherlands,14.60%
7/1/19,Netherlands,15.10%
8/1/19,Netherlands,14.96%
9/1/19,Netherlands,14.03%
10/1/19,Netherlands,14.65%
11/1/19,Netherlands,13.62%
12/1/19,Netherlands,14.04%
1/1/20,Netherlands,12.72%
2/1/20,Netherlands,12.96%
3/1/20,Netherlands,12.44%
4/1/20,Netherlands,11.65%
5/1/20,Netherlands,11.90%
6/1/20,Netherlands,12.33%
7/1/20,Netherlands,11.26%
8/1/20,Netherlands,10.44%
9/1/20,Netherlands,10.19%
10/1/20,Netherlands,9.19%
11/1/20,Netherlands,9.62%
12/1/20,Netherlands,8.54%
1/1/21,Netherlands,9.33%
2/1/21,Netherlands,7.96%
3/1/21,Netherlands,7.81%
4/1/21,Netherlands,7.19%
5/1/21,Netherlands,5.69%
6/1/21,Netherlands,5.27%
7/1/21,Netherlands,4.97%
8/1/21,Netherlands,5.86%
9/1/21,Netherlands,6.07%
10/1/21,Netherlands,6.85%
11/1/21,Netherlands,6.80%
12/1/21,Netherlands,7.20%
1/1/22,Netherlands,7.18%
2/1/22,Netherlands,9.49%
3/1/22,Netherlands,8.86%
4/1/22,Netherlands,8.00%
5/1/22,Netherlands,8.20%
6/1/22,Netherlands,8.13%
7/1/22,Netherlands,8.38%
8/1/22,Netherlands,7.19%
9/1/22,Netherlands,7.29%
10/1/22,Netherlands,6.57%
11/1/22,Netherlands,5.95%
12/1/22,Netherlands,6.90%
1/1/23,Netherlands,5.96%
2/1/23,Netherlands,4.27%
3/1/23,Netherlands,4.17%
4/1/23,Netherlands,5.04%
5/1/23,Netherlands,5.09%
6/1/23,Netherlands,5.09%
7/1/23,Netherlands,4.68%
8/1/23,Netherlands,4.66%
9/1/23,Netherlands,4.00%
10/1/23,Netherlands,4.23%
11/1/23,Netherlands,4.51%
12/1/23,Netherlands,2.95%
1/1/24,Netherlands,3.18%
2/1/24,Netherlands,3.45%
3/1/24,Netherlands,3.84%
4/1/24,Netherlands,3.98%
5/1/24,Netherlands,4.73%
6/1/24,Netherlands,5.22%
7/1/24,Netherlands,5.68%
8/1/24,Netherlands,7.07%
9/1/24,Netherlands,7.37%
10/1/24,Netherlands,7.53%
11/1/24,Netherlands,8.03%
12/1/24,Netherlands,8.57%
1/1/18,New Zealand,8.23%
2/1/18,New Zealand,2.08%
3/1/18,New Zealand,12.33%
4/1/18,New Zealand,13.40%
5/1/18,New Zealand,10.88%
6/1/18,New Zealand,12.58%
7/1/18,New Zealand,11.93%
8/1/18,New Zealand,14.49%
9/1/18,New Zealand,15.38%
10/1/18,New Zealand,14.34%
11/1/18,New Zealand,15.54%
12/1/18,New Zealand,13.14%
1/1/19,New Zealand,13.65%
2/1/19,New Zealand,16.54%
3/1/19,New Zealand,14.84%
4/1/19,New Zealand,13.41%
5/1/19,New Zealand,15.96%
6/1/19,New Zealand,16.44%
7/1/19,New Zealand,18.36%
8/1/19,New Zealand,16.45%
9/1/19,New Zealand,14.50%
10/1/19,New Zealand,15.61%
11/1/19,New Zealand,17.76%
12/1/19,New Zealand,21.94%
1/1/20,New Zealand,22.59%
2/1/20,New Zealand,19.30%
3/1/20,New Zealand,21.05%
4/1/20,New Zealand,24.18%
5/1/20,New Zealand,21.96%
6/1/20,New Zealand,18.90%
7/1/20,New Zealand,16.08%
8/1/20,New Zealand,16.49%
9/1/20,New Zealand,17.64%
10/1/20,New Zealand,16.58%
11/1/20,New Zealand,11.21%
12/1/20,New Zealand,9.58%
1/1/21,New Zealand,7.83%
2/1/21,New Zealand,10.99%
3/1/21,New Zealand,7.60%
4/1/21,New Zealand,3.70%
5/1/21,New Zealand,4.74%
6/1/21,New Zealand,7.50%
7/1/21,New Zealand,10.17%
8/1/21,New Zealand,9.53%
9/1/21,New Zealand,10.70%
10/1/21,New Zealand,11.81%
11/1/21,New Zealand,13.82%
12/1/21,New Zealand,13.34%
1/1/22,New Zealand,13.74%
2/1/22,New Zealand,11.95%
3/1/22,New Zealand,15.34%
4/1/22,New Zealand,16.93%
5/1/22,New Zealand,16.38%
6/1/22,New Zealand,15.16%
7/1/22,New Zealand,12.77%
8/1/22,New Zealand,13.37%
9/1/22,New Zealand,9.72%
10/1/22,New Zealand,6.97%
11/1/22,New Zealand,5.23%
12/1/22,New Zealand,3.41%
1/1/23,New Zealand,4.18%
2/1/23,New Zealand,2.80%
3/1/23,New Zealand,-1.79%
4/1/23,New Zealand,-3.88%
5/1/23,New Zealand,-4.55%
6/1/23,New Zealand,-5.01%
7/1/23,New Zealand,-5.12%
8/1/23,New Zealand,-6.94%
9/1/23,New Zealand,-6.43%
10/1/23,New Zealand,-3.11%
11/1/23,New Zealand,-1.44%
12/1/23,New Zealand,-0.03%
1/1/24,New Zealand,-0.88%
2/1/24,New Zealand,0.46%
3/1/24,New Zealand,2.07%
4/1/24,New Zealand,6.05%
5/1/24,New Zealand,5.27%
6/1/24,New Zealand,5.06%
7/1/24,New Zealand,6.75%
8/1/24,New Zealand,8.94%
9/1/24,New Zealand,14.14%
10/1/24,New Zealand,11.80%
11/1/24,New Zealand,12.15%
12/1/24,New Zealand,12.73%
1/1/18,Norway,56.35%
2/1/18,Norway,56.33%
3/1/18,Norway,58.84%
4/1/18,Norway,48.92%
5/1/18,Norway,42.49%
6/1/18,Norway,46.08%
7/1/18,Norway,42.95%
8/1/18,Norway,40.13%
9/1/18,Norway,41.95%
10/1/18,Norway,39.42%
11/1/18,Norway,39.36%
12/1/18,Norway,37.24%
1/1/19,Norway,33.88%
2/1/19,Norway,30.66%
3/1/19,Norway,25.39%
4/1/19,Norway,24.07%
5/1/19,Norway,26.72%
6/1/19,Norway,22.78%
7/1/19,Norway,22.66%
8/1/19,Norway,23.30%
9/1/19,Norway,18.63%
10/1/19,Norway,17.27%
11/1/19,Norway,13.48%
12/1/19,Norway,13.38%
1/1/20,Norway,14.13%
2/1/20,Norway,12.81%
3/1/20,Norway,15.75%
4/1/20,Norway,13.75%
5/1/20,Norway,11.45%
6/1/20,Norway,12.48%
7/1/20,Norway,10.45%
8/1/20,Norway,10.17%
9/1/20,Norway,9.83%
10/1/20,Norway,11.11%
11/1/20,Norway,13.88%
12/1/20,Norway,15.30%
1/1/21,Norway,13.78%
2/1/21,Norway,14.27%
3/1/21,Norway,10.58%
4/1/21,Norway,18.13%
5/1/21,Norway,14.02%
6/1/21,Norway,12.09%
7/1/21,Norway,15.65%
8/1/21,Norway,13.49%
9/1/21,Norway,16.10%
10/1/21,Norway,16.90%
11/1/21,Norway,17.22%
12/1/21,Norway,15.96%
1/1/22,Norway,16.01%
2/1/22,Norway,16.33%
3/1/22,Norway,18.51%
4/1/22,Norway,12.73%
5/1/22,Norway,18.21%
6/1/22,Norway,18.31%
7/1/22,Norway,13.91%
8/1/22,Norway,14.18%
9/1/22,Norway,11.75%
10/1/22,Norway,10.53%
11/1/22,Norway,7.38%
12/1/22,Norway,5.73%
1/1/23,Norway,6.03%
2/1/23,Norway,5.88%
3/1/23,Norway,5.33%
4/1/23,Norway,6.26%
5/1/23,Norway,3.57%
6/1/23,Norway,3.49%
7/1/23,Norway,3.70%
8/1/23,Norway,4.14%
9/1/23,Norway,4.74%
10/1/23,Norway,4.28%
11/1/23,Norway,7.95%
12/1/23,Norway,8.63%
1/1/24,Norway,7.71%
2/1/24,Norway,8.34%
3/1/24,Norway,7.87%
4/1/24,Norway,7.41%
5/1/24,Norway,9.08%
6/1/24,Norway,9.59%
7/1/24,Norway,12.72%
8/1/24,Norway,12.64%
9/1/24,Norway,14.85%
10/1/24,Norway,15.44%
11/1/24,Norway,12.91%
12/1/24,Norway,13.33%
1/1/18,Poland,17.46%
2/1/18,Poland,22.29%
3/1/18,Poland,17.17%
4/1/18,Poland,16.22%
5/1/18,Poland,14.60%
6/1/18,Poland,15.10%
7/1/18,Poland,14.97%
8/1/18,Poland,15.11%
9/1/18,Poland,17.77%
10/1/18,Poland,17.85%
11/1/18,Poland,17.47%
12/1/18,Poland,16.71%
1/1/19,Poland,15.20%
2/1/19,Poland,14.21%
3/1/19,Poland,16.86%
4/1/19,Poland,17.41%
5/1/19,Poland,17.36%
6/1/19,Poland,16.59%
7/1/19,Poland,17.43%
8/1/19,Poland,17.27%
9/1/19,Poland,14.43%
10/1/19,Poland,12.83%
11/1/19,Poland,13.52%
12/1/19,Poland,12.87%
1/1/20,Poland,14.49%
2/1/20,Poland,14.16%
3/1/20,Poland,11.65%
4/1/20,Poland,12.67%
5/1/20,Poland,13.84%
6/1/20,Poland,14.72%
7/1/20,Poland,13.42%
8/1/20,Poland,11.86%
9/1/20,Poland,10.82%
10/1/20,Poland,11.23%
11/1/20,Poland,10.21%
12/1/20,Poland,11.49%
1/1/21,Poland,12.06%
2/1/21,Poland,11.76%
3/1/21,Poland,11.67%
4/1/21,Poland,8.22%
5/1/21,Poland,8.18%
6/1/21,Poland,6.90%
7/1/21,Poland,7.36%
8/1/21,Poland,9.56%
9/1/21,Poland,12.85%
10/1/21,Poland,13.47%
11/1/21,Poland,12.35%
12/1/21,Poland,12.30%
1/1/22,Poland,10.70%
2/1/22,Poland,11.19%
3/1/22,Poland,10.86%
4/1/22,Poland,12.07%
5/1/22,Poland,10.16%
6/1/22,Poland,11.27%
7/1/22,Poland,10.16%
8/1/22,Poland,8.75%
9/1/22,Poland,5.81%
10/1/22,Poland,5.34%
11/1/22,Poland,5.88%
12/1/22,Poland,4.39%
1/1/23,Poland,3.49%
2/1/23,Poland,1.31%
3/1/23,Poland,0.47%
4/1/23,Poland,-0.36%
5/1/23,Poland,0.10%
6/1/23,Poland,-2.73%
7/1/23,Poland,-2.65%
8/1/23,Poland,-3.66%
9/1/23,Poland,-4.09%
10/1/23,Poland,-5.02%
11/1/23,Poland,-5.35%
12/1/23,Poland,-5.60%
1/1/24,Poland,-4.96%
2/1/24,Poland,-2.59%
3/1/24,Poland,-0.97%
4/1/24,Poland,-0.45%
5/1/24,Poland,-0.58%
6/1/24,Poland,2.02%
7/1/24,Poland,2.88%
8/1/24,Poland,4.90%
9/1/24,Poland,7.02%
10/1/24,Poland,8.64%
11/1/24,Poland,10.53%
12/1/24,Poland,13.05%
1/1/18,Portugal,-7.44%
2/1/18,Portugal,-3.74%
3/1/18,Portugal,-0.23%
4/1/18,Portugal,17.62%
5/1/18,Portugal,12.45%
6/1/18,Portugal,13.83%
7/1/18,Portugal,12.24%
8/1/18,Portugal,13.57%
9/1/18,Portugal,14.50%
10/1/18,Portugal,15.67%
11/1/18,Portugal,20.67%
12/1/18,Portugal,17.94%
1/1/19,Portugal,21.07%
2/1/19,Portugal,25.70%
3/1/19,Portugal,29.21%
4/1/19,Portugal,23.41%
5/1/19,Portugal,27.05%
6/1/19,Portugal,26.79%
7/1/19,Portugal,27.87%
8/1/19,Portugal,25.74%
9/1/19,Portugal,25.55%
10/1/19,Portugal,24.84%
11/1/19,Portugal,17.83%
12/1/19,Portugal,22.21%
1/1/20,Portugal,23.61%
2/1/20,Portugal,20.31%
3/1/20,Portugal,16.69%
4/1/20,Portugal,22.28%
5/1/20,Portugal,22.05%
6/1/20,Portugal,23.11%
7/1/20,Portugal,24.60%
8/1/20,Portugal,27.44%
9/1/20,Portugal,25.53%
10/1/20,Portugal,24.99%
11/1/20,Portugal,29.40%
12/1/20,Portugal,28.98%
1/1/21,Portugal,26.14%
2/1/21,Portugal,24.52%
3/1/21,Portugal,24.21%
4/1/21,Portugal,17.94%
5/1/21,Portugal,16.67%
6/1/21,Portugal,15.21%
7/1/21,Portugal,12.29%
8/1/21,Portugal,10.26%
9/1/21,Portugal,13.19%
10/1/21,Portugal,13.98%
11/1/21,Portugal,11.48%
12/1/21,Portugal,8.46%
1/1/22,Portugal,7.09%
2/1/22,Portugal,9.35%
3/1/22,Portugal,10.95%
4/1/22,Portugal,10.45%
5/1/22,Portugal,10.01%
6/1/22,Portugal,9.64%
7/1/22,Portugal,11.03%
8/1/22,Portugal,11.23%
9/1/22,Portugal,8.32%
10/1/22,Portugal,6.54%
11/1/22,Portugal,5.94%
12/1/22,Portugal,6.92%
1/1/23,Portugal,8.09%
2/1/23,Portugal,6.14%
3/1/23,Portugal,5.03%
4/1/23,Portugal,7.18%
5/1/23,Portugal,5.32%
6/1/23,Portugal,4.30%
7/1/23,Portugal,2.63%
8/1/23,Portugal,2.18%
9/1/23,Portugal,4.26%
10/1/23,Portugal,5.29%
11/1/23,Portugal,6.13%
12/1/23,Portugal,5.55%
1/1/24,Portugal,5.55%
2/1/24,Portugal,7.07%
3/1/24,Portugal,7.66%
4/1/24,Portugal,8.31%
5/1/24,Portugal,11.96%
6/1/24,Portugal,14.11%
7/1/24,Portugal,16.96%
8/1/24,Portugal,17.96%
9/1/24,Portugal,16.60%
10/1/24,Portugal,16.39%
11/1/24,Portugal,17.98%
12/1/24,Portugal,19.67%
1/1/18,Romania,-8.18%
2/1/18,Romania,-10.34%
3/1/18,Romania,6.24%
4/1/18,Romania,22.76%
5/1/18,Romania,25.14%
6/1/18,Romania,24.14%
7/1/18,Romania,23.07%
8/1/18,Romania,31.94%
9/1/18,Romania,28.89%
10/1/18,Romania,28.42%
11/1/18,Romania,32.11%
12/1/18,Romania,36.59%
1/1/19,Romania,37.33%
2/1/19,Romania,44.06%
3/1/19,Romania,41.97%
4/1/19,Romania,34.57%
5/1/19,Romania,35.27%
6/1/19,Romania,37.83%
7/1/19,Romania,39.88%
8/1/19,Romania,37.17%
9/1/19,Romania,42.18%
10/1/19,Romania,40.55%
11/1/19,Romania,36.23%
12/1/19,Romania,29.70%
1/1/20,Romania,31.95%
2/1/20,Romania,25.47%
3/1/20,Romania,24.94%
4/1/20,Romania,29.20%
5/1/20,Romania,25.46%
6/1/20,Romania,20.67%
7/1/20,Romania,18.61%
8/1/20,Romania,9.73%
9/1/20,Romania,3.87%
10/1/20,Romania,4.47%
11/1/20,Romania,5.38%
12/1/20,Romania,4.78%
1/1/21,Romania,5.37%
2/1/21,Romania,7.55%
3/1/21,Romania,8.90%
4/1/21,Romania,8.82%
5/1/21,Romania,11.26%
6/1/21,Romania,15.53%
7/1/21,Romania,14.41%
8/1/21,Romania,25.61%
9/1/21,Romania,28.50%
10/1/21,Romania,29.09%
11/1/21,Romania,24.56%
12/1/21,Romania,24.16%
1/1/22,Romania,21.49%
2/1/22,Romania,19.97%
3/1/22,Romania,16.72%
4/1/22,Romania,13.07%
5/1/22,Romania,10.97%
6/1/22,Romania,7.22%
7/1/22,Romania,7.83%
8/1/22,Romania,0.42%
9/1/22,Romania,-2.45%
10/1/22,Romania,-4.63%
11/1/22,Romania,-1.37%
12/1/22,Romania,-2.28%
1/1/23,Romania,-2.79%
2/1/23,Romania,-0.21%
3/1/23,Romania,1.08%
4/1/23,Romania,2.20%
5/1/23,Romania,0.03%
6/1/23,Romania,-0.92%
7/1/23,Romania,-2.07%
8/1/23,Romania,-3.12%
9/1/23,Romania,-3.66%
10/1/23,Romania,-1.97%
11/1/23,Romania,-3.29%
12/1/23,Romania,1.65%
1/1/24,Romania,2.13%
2/1/24,Romania,2.45%
3/1/24,Romania,3.83%
4/1/24,Romania,6.22%
5/1/24,Romania,12.03%
6/1/24,Romania,15.25%
7/1/24,Romania,18.12%
8/1/24,Romania,21.53%
9/1/24,Romania,24.70%
10/1/24,Romania,24.86%
11/1/24,Romania,28.45%
12/1/24,Romania,27.31%
1/1/18,Saudi Arabia,524.24%
2/1/18,Saudi Arabia,321.11%
3/1/18,Saudi Arabia,218.10%
4/1/18,Saudi Arabia,199.08%
5/1/18,Saudi Arabia,162.75%
6/1/18,Saudi Arabia,132.43%
7/1/18,Saudi Arabia,120.79%
8/1/18,Saudi Arabia,129.99%
9/1/18,Saudi Arabia,118.89%
10/1/18,Saudi Arabia,113.40%
11/1/18,Saudi Arabia,102.60%
12/1/18,Saudi Arabia,103.01%
1/1/19,Saudi Arabia,63.65%
2/1/19,Saudi Arabia,53.36%
3/1/19,Saudi Arabia,56.75%
4/1/19,Saudi Arabia,44.44%
5/1/19,Saudi Arabia,48.60%
6/1/19,Saudi Arabia,55.10%
7/1/19,Saudi Arabia,51.57%
8/1/19,Saudi Arabia,37.31%
9/1/19,Saudi Arabia,36.33%
10/1/19,Saudi Arabia,32.05%
11/1/19,Saudi Arabia,33.17%
12/1/19,Saudi Arabia,25.03%
1/1/20,Saudi Arabia,21.87%
2/1/20,Saudi Arabia,33.44%
3/1/20,Saudi Arabia,27.27%
4/1/20,Saudi Arabia,34.62%
5/1/20,Saudi Arabia,29.95%
6/1/20,Saudi Arabia,29.75%
7/1/20,Saudi Arabia,30.21%
8/1/20,Saudi Arabia,27.64%
9/1/20,Saudi Arabia,27.59%
10/1/20,Saudi Arabia,30.09%
11/1/20,Saudi Arabia,33.56%
12/1/20,Saudi Arabia,34.55%
1/1/21,Saudi Arabia,32.04%
2/1/21,Saudi Arabia,19.90%
3/1/21,Saudi Arabia,26.58%
4/1/21,Saudi Arabia,17.87%
5/1/21,Saudi Arabia,16.87%
6/1/21,Saudi Arabia,11.38%
7/1/21,Saudi Arabia,11.87%
8/1/21,Saudi Arabia,15.83%
9/1/21,Saudi Arabia,17.60%
10/1/21,Saudi Arabia,17.01%
11/1/21,Saudi Arabia,14.32%
12/1/21,Saudi Arabia,13.31%
1/1/22,Saudi Arabia,17.43%
2/1/22,Saudi Arabia,19.57%
3/1/22,Saudi Arabia,15.02%
4/1/22,Saudi Arabia,19.46%
5/1/22,Saudi Arabia,17.95%
6/1/22,Saudi Arabia,17.34%
7/1/22,Saudi Arabia,15.52%
8/1/22,Saudi Arabia,10.00%
9/1/22,Saudi Arabia,5.43%
10/1/22,Saudi Arabia,1.02%
11/1/22,Saudi Arabia,-1.14%
12/1/22,Saudi Arabia,0.46%
1/1/23,Saudi Arabia,-0.36%
2/1/23,Saudi Arabia,-1.47%
3/1/23,Saudi Arabia,-2.64%
4/1/23,Saudi Arabia,-6.77%
5/1/23,Saudi Arabia,-2.93%
6/1/23,Saudi Arabia,-1.75%
7/1/23,Saudi Arabia,3.98%
8/1/23,Saudi Arabia,8.42%
9/1/23,Saudi Arabia,12.23%
10/1/23,Saudi Arabia,15.38%
11/1/23,Saudi Arabia,19.41%
12/1/23,Saudi Arabia,18.14%
1/1/24,Saudi Arabia,17.54%
2/1/24,Saudi Arabia,20.25%
3/1/24,Saudi Arabia,26.32%
4/1/24,Saudi Arabia,32.54%
5/1/24,Saudi Arabia,30.46%
6/1/24,Saudi Arabia,38.17%
7/1/24,Saudi Arabia,31.85%
8/1/24,Saudi Arabia,30.97%
9/1/24,Saudi Arabia,29.46%
10/1/24,Saudi Arabia,29.21%
11/1/24,Saudi Arabia,26.92%
12/1/24,Saudi Arabia,28.71%
1/1/18,Singapore,21.81%
2/1/18,Singapore,22.16%
3/1/18,Singapore,14.44%
4/1/18,Singapore,14.68%
5/1/18,Singapore,19.48%
6/1/18,Singapore,17.60%
7/1/18,Singapore,14.63%
8/1/18,Singapore,14.64%
9/1/18,Singapore,15.94%
10/1/18,Singapore,18.40%
11/1/18,Singapore,17.96%
12/1/18,Singapore,18.60%
1/1/19,Singapore,17.91%
2/1/19,Singapore,17.73%
3/1/19,Singapore,20.99%
4/1/19,Singapore,21.91%
5/1/19,Singapore,20.09%
6/1/19,Singapore,21.38%
7/1/19,Singapore,24.26%
8/1/19,Singapore,23.71%
9/1/19,Singapore,23.22%
10/1/19,Singapore,20.99%
11/1/19,Singapore,20.29%
12/1/19,Singapore,18.92%
1/1/20,Singapore,19.60%
2/1/20,Singapore,20.32%
3/1/20,Singapore,17.26%
4/1/20,Singapore,17.80%
5/1/20,Singapore,21.34%
6/1/20,Singapore,21.88%
7/1/20,Singapore,20.64%
8/1/20,Singapore,22.73%
9/1/20,Singapore,22.29%
10/1/20,Singapore,21.16%
11/1/20,Singapore,23.22%
12/1/20,Singapore,24.38%
1/1/21,Singapore,24.03%
2/1/21,Singapore,21.31%
3/1/21,Singapore,21.73%
4/1/21,Singapore,18.09%
5/1/21,Singapore,11.69%
6/1/21,Singapore,8.59%
7/1/21,Singapore,7.08%
8/1/21,Singapore,3.82%
9/1/21,Singapore,2.32%
10/1/21,Singapore,2.86%
11/1/21,Singapore,0.55%
12/1/21,Singapore,-1.70%
1/1/22,Singapore,-2.81%
2/1/22,Singapore,-2.78%
3/1/22,Singapore,-2.87%
4/1/22,Singapore,-2.02%
5/1/22,Singapore,0.08%
6/1/22,Singapore,1.05%
7/1/22,Singapore,2.14%
8/1/22,Singapore,3.18%
9/1/22,Singapore,3.40%
10/1/22,Singapore,4.09%
11/1/22,Singapore,3.38%
12/1/22,Singapore,2.96%
1/1/23,Singapore,4.24%
2/1/23,Singapore,5.13%
3/1/23,Singapore,5.16%
4/1/23,Singapore,6.34%
5/1/23,Singapore,6.20%
6/1/23,Singapore,6.46%
7/1/23,Singapore,6.20%
8/1/23,Singapore,6.43%
9/1/23,Singapore,8.29%
10/1/23,Singapore,6.82%
11/1/23,Singapore,7.74%
12/1/23,Singapore,10.72%
1/1/24,Singapore,10.06%
2/1/24,Singapore,11.57%
3/1/24,Singapore,12.84%
4/1/24,Singapore,13.66%
5/1/24,Singapore,15.62%
6/1/24,Singapore,17.94%
7/1/24,Singapore,19.48%
8/1/24,Singapore,21.82%
9/1/24,Singapore,22.39%
10/1/24,Singapore,23.92%
11/1/24,Singapore,25.86%
12/1/24,Singapore,24.97%
1/1/18,Slovenia,-1.13%
2/1/18,Slovenia,4.25%
3/1/18,Slovenia,-0.95%
4/1/18,Slovenia,4.20%
5/1/18,Slovenia,14.99%
6/1/18,Slovenia,22.76%
7/1/18,Slovenia,19.32%
8/1/18,Slovenia,22.91%
9/1/18,Slovenia,16.77%
10/1/18,Slovenia,12.99%
11/1/18,Slovenia,17.73%
12/1/18,Slovenia,13.23%
1/1/19,Slovenia,16.87%
2/1/19,Slovenia,14.05%
3/1/19,Slovenia,16.59%
4/1/19,Slovenia,16.66%
5/1/19,Slovenia,13.04%
6/1/19,Slovenia,10.34%
7/1/19,Slovenia,11.88%
8/1/19,Slovenia,7.02%
9/1/19,Slovenia,14.38%
10/1/19,Slovenia,18.17%
11/1/19,Slovenia,14.00%
12/1/19,Slovenia,20.72%
1/1/20,Slovenia,18.92%
2/1/20,Slovenia,19.64%
3/1/20,Slovenia,15.75%
4/1/20,Slovenia,13.97%
5/1/20,Slovenia,11.20%
6/1/20,Slovenia,14.03%
7/1/20,Slovenia,13.04%
8/1/20,Slovenia,12.06%
9/1/20,Slovenia,11.46%
10/1/20,Slovenia,7.96%
11/1/20,Slovenia,11.72%
12/1/20,Slovenia,7.18%
1/1/21,Slovenia,6.22%
2/1/21,Slovenia,21.46%
3/1/21,Slovenia,32.63%
4/1/21,Slovenia,32.23%
5/1/21,Slovenia,35.30%
6/1/21,Slovenia,26.76%
7/1/21,Slovenia,27.44%
8/1/21,Slovenia,35.36%
9/1/21,Slovenia,31.55%
10/1/21,Slovenia,36.95%
11/1/21,Slovenia,30.59%
12/1/21,Slovenia,33.13%
1/1/22,Slovenia,31.98%
2/1/22,Slovenia,16.09%
3/1/22,Slovenia,6.42%
4/1/22,Slovenia,7.02%
5/1/22,Slovenia,12.75%
6/1/22,Slovenia,13.30%
7/1/22,Slovenia,12.64%
8/1/22,Slovenia,5.91%
9/1/22,Slovenia,4.16%
10/1/22,Slovenia,0.32%
11/1/22,Slovenia,4.03%
12/1/22,Slovenia,3.34%
1/1/23,Slovenia,3.98%
2/1/23,Slovenia,6.24%
3/1/23,Slovenia,8.58%
4/1/23,Slovenia,8.46%
5/1/23,Slovenia,-1.44%
6/1/23,Slovenia,7.77%
