Year,Geographic area,Gender,AI talent representation
2022,Cyprus,Male,73.78%
2023,Cyprus,Female,28.04%
2023,Cyprus,Male,71.96%
2024,Cyprus,Female,27.16%
2024,Cyprus,Male,72.85%
2016,Czech Republic,Female,21.24%
2016,Czech Republic,Male,78.76%
2017,Czech Republic,Female,21.64%
2017,Czech Republic,Male,78.36%
2018,Czech Republic,Female,21.96%
2018,Czech Republic,Male,78.04%
2019,Czech Republic,Female,22.91%
2019,Czech Republic,Male,77.09%
2020,Czech Republic,Female,23.86%
2020,Czech Republic,Male,76.14%
2021,Czech Republic,Female,24.81%
2021,Czech Republic,Male,75.20%
2022,Czech Republic,Female,25.72%
2022,Czech Republic,Male,74.28%
2023,Czech Republic,Female,25.77%
2023,Czech Republic,Male,74.23%
2024,Czech Republic,Female,26.35%
2024,Czech Republic,Male,73.66%
2016,Denmark,Female,22.92%
2016,Denmark,Male,77.08%
2017,Denmark,Female,22.34%
2017,Denmark,Male,77.66%
2018,Denmark,Female,22.13%
2018,Denmark,Male,77.87%
2019,Denmark,Female,22.71%
2019,Denmark,Male,77.29%
2020,Denmark,Female,23.08%
2020,Denmark,Male,76.92%
2021,Denmark,Female,23.85%
2021,Denmark,Male,76.16%
2022,Denmark,Female,24.54%
2022,Denmark,Male,75.46%
2023,Denmark,Female,25.00%
2023,Denmark,Male,75.00%
2024,Denmark,Female,25.73%
2024,Denmark,Male,74.28%
2016,Estonia,Female,30.34%
2016,Estonia,Male,69.66%
2017,Estonia,Female,27.36%
2017,Estonia,Male,72.64%
2018,Estonia,Female,29.22%
2018,Estonia,Male,70.79%
2019,Estonia,Female,30.69%
2019,Estonia,Male,69.31%
2020,Estonia,Female,30.45%
2020,Estonia,Male,69.55%
2021,Estonia,Female,30.95%
2021,Estonia,Male,69.05%
2022,Estonia,Female,31.92%
2022,Estonia,Male,68.08%
2023,Estonia,Female,31.67%
2023,Estonia,Male,68.33%
2024,Estonia,Female,32.90%
2024,Estonia,Male,67.10%
2016,Finland,Female,34.86%
2016,Finland,Male,65.14%
2017,Finland,Female,34.63%
2017,Finland,Male,65.38%
2018,Finland,Female,34.45%
2018,Finland,Male,65.55%
2019,Finland,Female,34.62%
2019,Finland,Male,65.39%
2020,Finland,Female,34.90%
2020,Finland,Male,65.10%
2021,Finland,Female,34.74%
2021,Finland,Male,65.26%
2022,Finland,Female,35.48%
2022,Finland,Male,64.53%
2023,Finland,Female,35.68%
2023,Finland,Male,64.32%
2024,Finland,Female,35.66%
2024,Finland,Male,64.34%
2016,France,Female,30.69%
2016,France,Male,69.31%
2017,France,Female,30.87%
2017,France,Male,69.13%
2018,France,Female,30.64%
2018,France,Male,69.36%
2019,France,Female,30.58%
2019,France,Male,69.42%
2020,France,Female,30.57%
2020,France,Male,69.43%
2021,France,Female,30.64%
2021,France,Male,69.36%
2022,France,Female,30.88%
2022,France,Male,69.13%
2023,France,Female,30.95%
2023,France,Male,69.05%
2024,France,Female,31.05%
2024,France,Male,68.95%
2016,Germany,Female,19.58%
2016,Germany,Male,80.42%
2017,Germany,Female,19.82%
2017,Germany,Male,80.19%
2018,Germany,Female,20.22%
2018,Germany,Male,79.78%
2019,Germany,Female,20.78%
2019,Germany,Male,79.22%
2020,Germany,Female,21.36%
2020,Germany,Male,78.64%
2021,Germany,Female,22.08%
2021,Germany,Male,77.92%
2022,Germany,Female,22.61%
2022,Germany,Male,77.39%
2023,Germany,Female,23.31%
2023,Germany,Male,76.69%
2024,Germany,Female,23.77%
2024,Germany,Male,76.23%
2016,Greece,Female,21.97%
2016,Greece,Male,78.03%
2017,Greece,Female,22.03%
2017,Greece,Male,77.98%
2018,Greece,Female,23.07%
2018,Greece,Male,76.94%
2019,Greece,Female,22.90%
2019,Greece,Male,77.10%
2020,Greece,Female,23.50%
2020,Greece,Male,76.50%
2021,Greece,Female,24.21%
2021,Greece,Male,75.79%
2022,Greece,Female,25.33%
2022,Greece,Male,74.68%
2023,Greece,Female,26.15%
2023,Greece,Male,73.85%
2024,Greece,Female,26.95%
2024,Greece,Male,73.05%
2016,Hong Kong,Female,27.98%
2016,Hong Kong,Male,72.02%
2017,Hong Kong,Female,27.95%
2017,Hong Kong,Male,72.05%
2018,Hong Kong,Female,28.11%
2018,Hong Kong,Male,71.89%
2019,Hong Kong,Female,27.62%
2019,Hong Kong,Male,72.38%
2020,Hong Kong,Female,28.60%
2020,Hong Kong,Male,71.40%
2021,Hong Kong,Female,29.68%
2021,Hong Kong,Male,70.32%
2022,Hong Kong,Female,30.42%
2022,Hong Kong,Male,69.58%
2023,Hong Kong,Female,30.92%
2023,Hong Kong,Male,69.08%
2024,Hong Kong,Female,31.77%
2024,Hong Kong,Male,68.24%
2016,India,Female,25.15%
2016,India,Male,74.85%
2017,India,Female,25.51%
2017,India,Male,74.49%
2018,India,Female,25.83%
2018,India,Male,74.18%
2019,India,Female,26.33%
2019,India,Male,73.67%
2020,India,Female,26.98%
2020,India,Male,73.02%
2021,India,Female,28.13%
2021,India,Male,71.87%
2022,India,Female,28.70%
2022,India,Male,71.30%
2023,India,Female,28.93%
2023,India,Male,71.07%
2024,India,Female,29.92%
2024,India,Male,70.08%
2016,Ireland,Female,28.29%
2016,Ireland,Male,71.71%
2017,Ireland,Female,29.11%
2017,Ireland,Male,70.89%
2018,Ireland,Female,29.39%
2018,Ireland,Male,70.61%
2019,Ireland,Female,29.29%
2019,Ireland,Male,70.71%
2020,Ireland,Female,29.74%
2020,Ireland,Male,70.26%
2021,Ireland,Female,30.16%
2021,Ireland,Male,69.84%
2022,Ireland,Female,31.10%
2022,Ireland,Male,68.90%
2023,Ireland,Female,31.50%
2023,Ireland,Male,68.50%
2024,Ireland,Female,31.69%
2024,Ireland,Male,68.31%
2016,Israel,Female,23.32%
2016,Israel,Male,76.68%
2017,Israel,Female,23.47%
