Year,Number of companies
2013.0,495
2014.0,568
2015.0,572
2016.0,712
2017.0,983
2018.0,1234
2019.0,1198
2020.0,1406
2021.0,1876
2022.0,1601
2023.0,1891
2024.0,2049
