Publication date,Number of parameters,Label
2023-03-20,1085000000000.0,Industry
2023-02-24,65200000000.0,Industry
2023-02-10,21743000000.0,Industry
2023-01-30,12100000000.0,Industry
2023-01-30,1480000000.0,Industry
2023-01-26,860000000.0,Industry
2023-01-05,353000000.0,Industry
2022-12-13,35000000.0,Industry
2022-11-30,20000000000.0,Industry
2022-11-18,330000000.0,Industry
2022-11-16,120000000000.0,Industry
2022-11-03,35000000.0,Industry
2022-11-03,176000000000.0,Industry
2022-11-02,9100000000.0,Industry
2022-10-20,540000000000.0,Industry
2022-10-20,11000000000.0,Industry
2022-10-20,540000000000.0,Industry
2022-09-21,1550000000.0,Industry
2022-09-14,16900000000.0,Industry
2022-08-22,1900000000.0,Industry
2022-08-02,19750000000.0,Industry
2022-07-06,54500000000.0,Industry
2022-07-05,770000000.0,Industry
2022-06-29,540350000000.0,Industry
2022-06-22,20000000000.0,Industry
2022-06-14,2100000000.0,Industry
2022-05-23,7762000000.0,Industry
2022-05-12,1180000000.0,Industry
2022-05-10,20000000000.0,Industry
2022-05-04,418000000.0,Industry
2022-05-02,175000000000.0,Industry
2022-04-29,80000000000.0,Industry
2022-04-14,9410000000.0,Industry
2022-04-06,3500000000.0,Industry
2022-04-04,540350000000.0,Industry
2022-03-29,70000000000.0,Industry
2022-03-02,774000000.0,Industry
2022-03-01,3200000000.0,Industry
2022-02-17,269000000000.0,Industry
2022-02-10,137000000000.0,Industry
2022-02-07,7500000000.0,Industry
2022-02-02,41100000000.0,Industry
2022-01-27,175000000000.0,Industry
2022-01-27,6000000000.0,Industry
2022-01-27,1300000000.0,Industry
2022-01-20,705134592.0,Industry
2022-01-20,705134592.0,Industry
2022-01-20,705134592.0,Industry
2021-12-31,10000000000.0,Industry
2021-12-20,7500000000.0,Industry
2021-12-20,3500000000.0,Industry
2021-12-15,3000000000.0,Industry
2021-12-13,1200000000000.0,Industry
2021-12-08,280000000000.0,Industry
2021-11-22,893000000.0,Industry
2021-11-19,3070000000.0,Industry
2021-11-18,3000000000.0,Industry
2021-11-15,3005000000.0,Industry
2021-11-11,632000000.0,Industry
2021-10-12,245730000000.0,Industry
2021-10-11,530000000000.0,Industry
2021-09-20,11000000000.0,Industry
2021-09-10,204000000000.0,Industry
2021-09-04,135000000000.0,Industry
2021-09-03,137000000000.0,Industry
2021-08-17,10700000000.0,Industry
2021-08-11,178000000000.0,Industry
2021-08-06,99100000.0,Industry
2021-07-27,1000000000.0,Industry
2021-07-27,3472816.0,Industry
2021-07-07,12000000000.0,Industry
2021-07-05,10000000000.0,Industry
2021-06-23,208000000.0,Industry
2021-06-11,820000000.0,Industry
2021-06-10,1500000000.0,Industry
2021-06-09,2440000000.0,Industry
2021-06-08,1843000000.0,Industry
2021-05-28,12900000000.0,Industry
2021-05-26,90100000.0,Industry
2021-05-11,559000000.0,Industry
2021-04-19,27000000000.0,Industry
2021-03-05,1002700000000.0,Industry
2021-03-05,9431810048.0,Industry
2021-03-01,480000000.0,Industry
2021-02-24,234000000.0,Industry
2021-01-11,1571000000000.0,Industry
2021-01-10,8000000000.0,Industry
2021-01-05,12000000000.0,Industry
2021-01-05,370000000.0,Industry
2021-01-05,88600000.0,Industry
2020-12-31,247000000.0,Industry
2020-11-30,93000000.0,Industry
2020-10-26,795000000.0,Industry
2020-10-22,317000000.0,Industry
2020-10-22,632000000.0,Industry
2020-10-22,86000000.0,Industry
2020-10-20,13000000000.0,Industry
2020-10-20,1000000000.0,Industry
2020-08-06,340000000.0,Industry
2020-07-27,77000000.0,Industry
2020-06-30,2300000000.0,Industry
2020-06-17,6801000000.0,Industry
2020-06-17,1362000000.0,Industry
2020-05-28,175000000000.0,Industry
2020-05-26,60000000.0,Industry
2020-05-16,118800000.0,Industry
2020-05-07,112700000.0,Industry
2020-03-12,79500000.0,Industry
2020-02-13,17000000000.0,Industry
2020-02-13,375000000.0,Industry
2020-02-08,27900000.0,Industry
2020-01-28,2600000000.0,Industry
2020-01-15,16340840.0,Industry
2019-12-24,928000000.0,Industry
2019-12-13,159000000.0,Industry
2019-12-13,159000000.0,Industry
2019-11-19,296000000.0,Industry
2019-11-19,36864000.0,Industry
2019-11-13,375000000.0,Industry
2019-11-05,550000000.0,Industry
2019-10-30,139000000.0,Industry
2019-10-29,406291456.0,Industry
2019-10-23,11000000000.0,Industry
2019-10-23,2800000000.0,Industry
2019-10-11,50000000000.0,Industry
2019-10-02,66000000.0,Industry
2019-09-17,8300000000.0,Industry
2019-09-17,3900000000.0,Industry
2019-07-04,86000000.0,Industry
2019-06-14,829000000.0,Industry
2019-06-03,626000000.0,Industry
2019-06-01,665000000.0,Industry
2019-05-31,100000000000.0,Industry
2019-05-29,5200000.0,Industry
2019-05-29,4900000.0,Industry
2019-05-28,480000000.0,Industry
2019-05-02,193000000.0,Industry
2019-05-02,25000000.0,Industry
2019-04-20,395000000.0,Industry
2019-04-08,23000000.0,Industry
2019-04-01,247000000.0,Industry
2019-02-27,2500000.0,Industry
2019-02-14,1500000000.0,Industry
2019-01-31,330000000.0,Industry
2018-11-16,6000000000.0,Industry
2018-11-16,557000000.0,Industry
2018-11-12,46000000.0,Industry
2018-11-05,4900000000.0,Industry
2018-11-05,2900000000.0,Industry
2018-10-11,22000000.0,Industry
2018-10-11,340000000.0,Industry
2018-09-28,247000000.0,Industry
2018-08-14,35000000.0,Industry
2018-07-10,3320000.0,Industry
2018-07-10,77360000.0,Industry
2018-07-03,122000000.0,Industry
2018-06-18,3400000.0,Industry
2018-06-01,117000000.0,Industry
2018-05-02,829000000.0,Industry
2018-03-22,26000000.0,Industry
2018-02-05,1600000.0,Industry
2018-02-05,469000000.0,Industry
2018-02-05,87000000.0,Industry
2018-02-01,135000000.0,Industry
