Year,Notable AI models (% of total),Label
2014,93.75%,Unknown
2015,67.86%,Unknown
2016,72.00%,Unknown
2017,65.52%,Unknown
2018,33.33%,Unknown
2019,,Unknown
2020,7.41%,Unknown
2021,17.33%,Unknown
2022,30.23%,Unknown
2023,28.57%,Unknown
2024,3.28%,Unknown
2014,,Hosted access (no API)
2015,,Hosted access (no API)
2016,2.00%,Hosted access (no API)
2017,,Hosted access (no API)
2018,,Hosted access (no API)
2019,,Hosted access (no API)
2020,,Hosted access (no API)
2021,2.67%,Hosted access (no API)
2022,1.16%,Hosted access (no API)
2023,0.95%,Hosted access (no API)
2024,8.20%,Hosted access (no API)
2014,,Open weights (noncommercial)
2015,,Open weights (noncommercial)
2016,4.00%,Open weights (noncommercial)
2017,,Open weights (noncommercial)
2018,1.96%,Open weights (noncommercial)
2019,12.50%,Open weights (noncommercial)
2020,1.85%,Open weights (noncommercial)
2021,6.67%,Open weights (noncommercial)
2022,11.63%,Open weights (noncommercial)
2023,11.43%,Open weights (noncommercial)
2024,9.84%,Open weights (noncommercial)
2014,,Open weights (unrestricted)
2015,7.14%,Open weights (unrestricted)
2016,2.00%,Open weights (unrestricted)
2017,1.72%,Open weights (unrestricted)
2018,19.61%,Open weights (unrestricted)
2019,37.50%,Open weights (unrestricted)
2020,50.00%,Open weights (unrestricted)
2021,42.67%,Open weights (unrestricted)
2022,23.26%,Open weights (unrestricted)
2023,19.05%,Open weights (unrestricted)
2024,11.48%,Open weights (unrestricted)
2014,6.25%,Unreleased
2015,25.00%,Unreleased
2016,20.00%,Unreleased
2017,32.76%,Unreleased
2018,45.10%,Unreleased
2019,50.00%,Unreleased
2020,38.89%,Unreleased
2021,25.33%,Unreleased
2022,25.58%,Unreleased
2023,13.33%,Unreleased
2024,16.39%,Unreleased
2014,,Open weights (restricted use)
2015,,Open weights (restricted use)
2016,,Open weights (restricted use)
2017,,Open weights (restricted use)
2018,,Open weights (restricted use)
2019,,Open weights (restricted use)
2020,,Open weights (restricted use)
2021,,Open weights (restricted use)
2022,2.33%,Open weights (restricted use)
2023,15.24%,Open weights (restricted use)
2024,18.03%,Open weights (restricted use)
2014,,API access
2015,,API access
2016,,API access
2017,,API access
2018,,API access
2019,,API access
2020,1.85%,API access
2021,5.33%,API access
2022,5.81%,API access
2023,11.43%,API access
2024,32.79%,API access
