Publication date,Training compute (petaFLOP),Label
2012-12-03,311.4,Industry
2012-07-12,600.0,Industry
2007-06-22,1449.4464,Industry
2007-06-22,773.03808,Industry
2005-08-07,0.003482081588304,Industry
2024-06-25,1070000000.0,Industry–academia
2024-06-13,110000000.0,Industry–academia
2024-02-23,3900000000.0,Industry–academia
2023-12-14,67070000.0,Industry–academia
2023-11-13,45600000.0,Industry–academia
2023-11-08,26000.0,Industry–academia
2023-11-06,63310000.00000001,Industry–academia
2023-11-05,78070000.0,Industry–academia
2023-08-29,30800000.0,Industry–academia
2023-07-06,620000000.0,Industry–academia
2023-07-06,600000100.0,Industry–academia
2023-05-18,180000.0,Industry–academia
2023-05-11,193999.99999999997,Industry–academia
2023-05-09,84600000.0,Industry–academia
2023-04-17,78049000.0,Industry–academia
2023-04-14,7418511.36,Industry–academia
2023-04-09,3000010.0,Industry–academia
2023-03-30,235999999.99999997,Industry–academia
2023-03-05,9500000.000000002,Industry–academia
2023-01-15,8080000.0,Industry–academia
2022-11-28,215700.00001000002,Industry–academia
2022-11-20,510000.0,Industry–academia
2022-11-10,2408000.0,Industry–academia
2022-10-11,1420000.0,Industry–academia
2022-08-10,430000000.0,Industry–academia
2022-07-21,73500000.00009999,Industry–academia
2022-06-27,13500000.000000002,Industry–academia
2022-06-06,11000.0,Industry–academia
2022-05-27,7240000.000000001,Industry–academia
2022-04-13,49999999.99999999,Industry–academia
2022-03-21,26500.0,Industry–academia
2022-03-10,3400000.0,Industry–academia
2022-02-10,65000.0,Industry–academia
2022-01-07,23439.9744,Industry–academia
2021-12-23,1042100000.0,Industry–academia
2021-12-16,157000.0,Industry–academia
2021-11-24,4838400.0,Industry–academia
2021-11-01,1560000.0,Industry–academia
2021-10-17,7300.0,Industry–academia
2021-10-15,918190.0000000001,Industry–academia
2021-07-29,18000000.0,Industry–academia
2021-06-28,82000.0,Industry–academia
2021-06-09,1910000.0,Industry–academia
2021-05-26,26800000.0,Industry–academia
2021-05-04,37000000.0,Industry–academia
2021-05-04,73700000.0,Industry–academia
2021-05-04,39000000.0,Industry–academia
2021-04-29,209999.99999999997,Industry–academia
2021-02-13,5489999.999999999,Industry–academia
2021-01-15,78840.0,Industry–academia
2020-12-25,562.0,Industry–academia
2020-12-15,5100000.0,Industry–academia
2020-08-03,24000.0,Industry–academia
2020-05-06,2890.0,Industry–academia
2020-04-29,1784280.9599999995,Industry–academia
2020-03-23,3099999.9999999995,Industry–academia
2020-03-11,459.99999999999994,Industry–academia
2020-02-21,44100.0,Industry–academia
2020-02-09,2390000.0,Industry–academia
2019-12-19,780000.0,Industry–academia
2019-11-11,26119999.999999996,Industry–academia
2019-11-10,830000.0,Industry–academia
2019-11-01,7300.0,Industry–academia
2019-10-02,7600.0,Industry–academia
2019-07-01,8506700.0,Industry–academia
2019-06-24,4760.0,Industry–academia
2019-06-01,6190000.000000001,Industry–academia
2019-02-01,4300.0,Industry–academia
2019-01-09,10900.0,Industry–academia
2018-10-15,2780.0,Industry–academia
2018-09-28,1800000.0,Industry–academia
2018-09-24,1.02,Industry–academia
2018-09-17,11000.0,Industry–academia
2018-08-30,693.0,Industry–academia
2018-06-27,34875.0,Industry–academia
2018-06-24,11.0,Industry–academia
2018-03-27,33300.0,Industry–academia
2018-02-09,20.099999999999994,Industry–academia
2017-12-05,1.34,Industry–academia
2017-12-02,66290.40000000001,Industry–academia
2017-09-15,3.4,Industry–academia
2017-07-10,843000.0,Industry–academia
2017-01-23,93939.05664,Industry–academia
2016-11-04,21.3,Industry–academia
2016-06-21,61.492939793999994,Industry–academia
2015-03-17,73.0,Industry–academia
2014-12-22,60.48,Industry–academia
2014-09-17,1510.0,Industry–academia
2014-09-08,91.0,Industry–academia
2014-06-18,3411.072,Industry–academia
2013-12-05,1340.928,Industry–academia
2013-06-12,0.0908424,Industry–academia
2013-05-26,127.73376,Industry–academia
2021-08-11,801599.9999999999,Academia–government
2018-05-22,75.9,Academia–government
2014-09-14,44.0,Academia–government
2022-07-11,365664000.0,Industry–research collective
2019-11-10,158000.0,Industry–research collective
