Publication date,Training dataset size (datapoints)
9/17/14,1200000
9/10/14,652000000
9/4/14,1300000
9/4/14,1300000
9/1/14,348000000
7/1/14,12000000000
6/23/14,50000000
6/22/14,1100000
6/21/14,150000
6/18/14,1280000
6/10/14,60000
6/1/14,6248
5/14/14,75000
1/1/14,42000000000
1/1/14,6000000000
12/20/13,60000
12/11/13,1000000000
12/5/13,17000000
12/5/13,5400000000
10/16/13,692000
10/16/13,33000000000
10/1/13,155063
10/1/13,4100000
9/22/13,1000000
5/26/13,77580000
1/16/13,6000000000
12/3/12,16000000
12/3/12,1100000000
9/30/12,1200000
9/9/12,27000000
7/12/12,10000000
6/3/12,41620
6/3/12,60000
6/3/12,1000000
6/3/12,60000
2/13/12,60000
11/8/11,852000000
11/6/11,4652
6/28/11,833333
6/19/11,75000
5/22/11,697500
4/29/11,1600000
9/26/10,10000000000
9/26/10,6400000
6/15/10,291600
6/1/10,37000000
3/1/10,60000
1/1/10,1000000
