Publication date,Performance (FLOP/s - log scale),Label
2021-08-18,128000000000000.0,FP16
2021-07-01,24500000000000.0,FP16
2021-04-20,7500000000000000.0,FP16
2021-04-12,19170000000000.0,FP16
2021-04-12,31500000000000.0,FP16
2021-04-12,27770000000000.0,FP16
2021-04-12,31240000000000.0,FP16
2021-03-31,128000000000000.0,FP16
2020-11-16,77970000000000.0,FP16
2020-10-05,38700000000000.0,FP16
2020-10-05,37420000000000.0,FP16
2020-09-01,29770000000000.0,FP16
2020-09-01,35580000000000.0,FP16
2020-06-22,77970000000000.0,FP16
2020-05-14,77970000000000.0,FP16
2020-03-01,77970000000000.0,FP16
2020-01-01,64000000000000.0,FP16
2019-11-26,32710000000000.0,FP16
2019-08-23,256000000000000.0,FP16
2019-08-23,320000000000000.0,FP16
2019-01-01,64000000000000.0,FP16
2018-11-13,14240000000000.0,FP16
2018-10-10,8000000000000.0,FP16
2018-09-20,26900000000000.0,FP16
2018-09-13,65130000000000.0,FP16
2018-08-13,32620000000000.0,FP16
2018-08-13,22300000000000.0,FP16
2018-08-13,32620000000000.0,FP16
2018-03-27,32400000000000.0,FP16
2018-03-27,28260000000000.0,FP16
2018-03-27,31330000000000.0,FP16
2018-03-27,31330000000000.0,FP16
2018-03-27,31330000000000.0,FP16
2017-12-01,29800000000000.0,FP16
2017-07-01,31330000000000.0,FP16
2017-06-21,31330000000000.0,FP16
2017-06-21,28260000000000.0,FP16
2017-06-21,31330000000000.0,FP16
2017-04-06,189800000000.0,FP16
2017-03-10,177200000000.0,FP16
2017-02-07,18680000000.0,FP16
2017-02-06,82880000000.0,FP16
2016-10-01,138600000000.0,FP16
2016-10-01,197400000000.0,FP16
2016-09-13,183700000000.0,FP16
2016-09-13,89120000000.0,FP16
2016-06-20,19100000000000.0,FP16
2016-05-27,138600000000.0,FP16
2016-04-05,18700000000000.0,FP16
2024-11-18,494500000000000.0,TF32 (19-bit)
2024-10-10,653700000000000.0,TF32 (19-bit)
2024-06-02,2500000000000000.0,TF32 (19-bit)
2024-03-18,875000000000000.0,TF32 (19-bit)
2024-03-18,1125000000000000.0,TF32 (19-bit)
2023-12-19,50000000000000.0,TF32 (19-bit)
2023-12-06,653700000000000.0,TF32 (19-bit)
2023-11-09,74000000000000.0,TF32 (19-bit)
2023-11-09,48300000000000.0,TF32 (19-bit)
2023-09-16,59800000000000.0,TF32 (19-bit)
2023-08-08,494500000000000.0,TF32 (19-bit)
2023-06-13,120000000000000.0,TF32 (19-bit)
2023-03-21,454500000000000.0,TF32 (19-bit)
2023-01-04,490300000000000.0,TF32 (19-bit)
2023-01-01,140000000000000.0,TF32 (19-bit)
2022-11-03,155900000000000.0,TF32 (19-bit)
2022-09-20,378000000000000.0,TF32 (19-bit)
2022-09-20,82600000000000.0,TF32 (19-bit)
2022-09-20,494500000000000.0,TF32 (19-bit)
2022-08-22,512000000000000.0,TF32 (19-bit)
2022-03-29,40000000000000.0,TF32 (19-bit)
2021-11-08,95700000000000.0,TF32 (19-bit)
2020-11-16,156000000000000.0,TF32 (19-bit)
2020-10-05,74800000000000.0,TF32 (19-bit)
2020-06-22,156000000000000.0,TF32 (19-bit)
2020-05-14,156000000000000.0,TF32 (19-bit)
2020-03-01,156000000000000.0,TF32 (19-bit)
2024-11-18,989500000000000.0,Tensor-FP16/BF16
2024-06-02,5000000000000000.0,Tensor-FP16/BF16
2024-05-14,918000000000000.0,Tensor-FP16/BF16
2024-04-10,5530000000000.0,Tensor-FP16/BF16
2024-03-18,1750000000000000.0,Tensor-FP16/BF16
2024-03-18,2250000000000000.0,Tensor-FP16/BF16
2023-12-19,100000000000000.0,Tensor-FP16/BF16
2023-12-06,459000000000000.0,Tensor-FP16/BF16
2023-12-06,1307400000000000.0,Tensor-FP16/BF16
2023-11-09,148000000000000.0,Tensor-FP16/BF16
2023-11-09,96500000000000.0,Tensor-FP16/BF16
2023-09-16,119500000000000.0,Tensor-FP16/BF16
2023-08-29,197000000000000.0,Tensor-FP16/BF16
2023-08-08,989500000000000.0,Tensor-FP16/BF16
2023-05-18,51200000000000.0,Tensor-FP16/BF16
2023-03-21,989000000000000.0,Tensor-FP16/BF16
2023-01-04,980600000000000.0,Tensor-FP16/BF16
2022-11-03,311800000000000.0,Tensor-FP16/BF16
2022-10-13,181000000000000.0,Tensor-FP16/BF16
2022-09-20,756000000000000.0,Tensor-FP16/BF16
2022-09-20,330000000000000.0,Tensor-FP16/BF16
2022-09-20,989500000000000.0,Tensor-FP16/BF16
2022-08-22,1024000000000000.0,Tensor-FP16/BF16
2022-08-11,312000000000000.0,Tensor-FP16/BF16
2022-03-29,160000000000000.0,Tensor-FP16/BF16
2021-11-08,383000000000000.0,Tensor-FP16/BF16
2021-08-21,362000000000000.0,Tensor-FP16/BF16
2021-05-20,275000000000000.0,Tensor-FP16/BF16
2020-11-16,312000000000000.0,Tensor-FP16/BF16
2020-10-05,149700000000000.0,Tensor-FP16/BF16
2020-06-22,312000000000000.0,Tensor-FP16/BF16
2020-05-14,312000000000000.0,Tensor-FP16/BF16
2020-03-01,312000000000000.0,Tensor-FP16/BF16
2020-01-01,138000000000000.0,Tensor-FP16/BF16
2019-11-26,130000000000000.0,Tensor-FP16/BF16
2018-09-20,113800000000000.0,Tensor-FP16/BF16
2018-05-18,123000000000000.0,Tensor-FP16/BF16
2018-03-27,125000000000000.0,Tensor-FP16/BF16
2018-03-27,112000000000000.0,Tensor-FP16/BF16
2018-03-27,125000000000000.0,Tensor-FP16/BF16
2018-03-27,125000000000000.0,Tensor-FP16/BF16
2018-03-27,125000000000000.0,Tensor-FP16/BF16
2017-07-01,125000000000000.0,Tensor-FP16/BF16
2017-06-21,125000000000000.0,Tensor-FP16/BF16
2017-06-21,112000000000000.0,Tensor-FP16/BF16
2017-06-21,125000000000000.0,Tensor-FP16/BF16
2017-05-01,46000000000000.0,Tensor-FP16/BF16
