Year,AI publications in CS (% of total),Label
2013,0.009772116364984575,Other
2014,0.009405592168404888,Other
2015,0.009410039032394402,Other
2016,0.009326105704077861,Other
2017,0.009810682743431737,Other
2018,0.010010576512719648,Other
2019,0.011156109695425312,Other
2020,0.011699014430354199,Other
2021,0.01231432043727933,Other
2022,0.012911548406788641,Other
2023,0.013533737067374365,Other
2013,0.019054302776711114,Nonprofit
2014,0.02064111587433617,Nonprofit
2015,0.01923029112696716,Nonprofit
2016,0.019933472957989404,Nonprofit
2017,0.019543502925407664,Nonprofit
2018,0.020271649379325702,Nonprofit
2019,0.019377199369008617,Nonprofit
2020,0.020659961653604224,Nonprofit
2021,0.019398798518595314,Nonprofit
2022,0.017731783026093767,Nonprofit
2023,0.017025670700681426,Nonprofit
2013,0.044769004647713884,Government
2014,0.04916501375647834,Government
2015,0.05178629142530393,Government
2016,0.04925465073302945,Government
2017,0.04839714355631688,Government
2018,0.046360380754457906,Government
2019,0.0459668122800631,Government
2020,0.04522183726327828,Government
2021,0.045611367419464456,Government
2022,0.0481217210022863,Government
2023,0.049006794305155095,Government
2013,0.06648481879212405,Industry
2014,0.06317742657879583,Industry
2015,0.06601944161300749,Industry
2016,0.06587409141308365,Industry
2017,0.0689862294498454,Industry
2018,0.07375725975544134,Industry
2019,0.08469845892488775,Industry
2020,0.08598338322849743,Industry
2021,0.08812399564563786,Industry
2022,0.07182552708718462,Industry
2023,0.07138011194141533,Industry
2013,0.8599197574184664,Academia
2014,0.8576108516219848,Academia
2015,0.853553936802327,Academia
2016,0.8556116791918197,Academia
2017,0.8532624413249983,Academia
2018,0.8496001335980554,Academia
2019,0.8388014197306152,Academia
2020,0.8364358034242658,Academia
2021,0.834551517979023,Academia
2022,0.8494094204776467,Academia
2023,0.8490536859853738,Academia
