Year,Notable AI models (% of total),Label
2019,27.78%,Industry–academia collaboration
2020,24.07%,Industry–academia collaboration
2021,28.00%,Industry–academia collaboration
2022,22.09%,Industry–academia collaboration
2023,24.76%,Industry–academia collaboration
2024,8.20%,Industry–academia collaboration
2003,16.67%,Industry
2004,0.00%,Industry
2005,14.29%,Industry
2006,0.00%,Industry
2007,40.00%,Industry
2008,20.00%,Industry
2009,54.55%,Industry
2010,16.67%,Industry
2011,0.00%,Industry
2012,20.00%,Industry
2013,29.63%,Industry
2014,15.63%,Industry
2015,48.15%,Industry
2016,42.00%,Industry
2017,39.66%,Industry
2018,45.10%,Industry
2019,47.22%,Industry
2020,50.00%,Industry
2021,58.67%,Industry
2022,56.98%,Industry
2023,58.10%,Industry
2024,90.16%,Industry
