state_code,date,PHCI,UR,BPPRIV,NAICS54
IN,2019-03-01,126.54,3.4,1642,121.5
IA,2019-03-01,127.75,2.6,617,52.7
KS,2019-03-01,130.79,3.2,507,74.4
KY,2019-03-01,127.97,4.1,811,76.6
LA,2019-03-01,110.89,4.5,1496,89.8
ME,2019-03-01,131.3,2.9,618,27.8
MD,2019-03-01,127.82,3.5,1788,257.1
MA,2019-03-01,143.23,3.1,1026,339.0
MI,2019-03-01,122.6,4.2,2053,298.3
MN,2019-03-01,137.31,3.3,2136,158.7
MS,2019-03-01,119.06,5.4,585,31.0
MO,2019-03-01,130.21,3.2,1787,161.5
MT,2019-03-01,117.69,3.5,316,22.5
NE,2019-03-01,131.64,3.1,572,46.0
NV,2019-03-01,132.79,4.2,1100,60.8
NH,2019-03-01,145.91,2.6,264,38.6
NJ,2019-03-01,128.84,3.3,2288,306.8
NM,2019-03-01,124.6,5.0,398,
NY,2019-03-01,126.03,3.9,2699,697.9
NC,2019-03-01,136.15,3.9,5174,260.2
ND,2019-03-01,141.12,2.3,86,16.0
OH,2019-03-01,124.61,4.0,1873,267.6
OK,2019-03-01,129.06,3.1,1279,74.9
OR,2019-03-01,142.46,4.0,2252,99.2
PA,2019-03-01,121.17,4.3,1855,358.2
RI,2019-03-01,124.99,3.6,66,25.8
SC,2019-03-01,147.8,3.1,2734,100.1
SD,2019-03-01,128.77,2.8,269,
TN,2019-03-01,136.82,3.4,3877,144.1
TX,2019-03-01,146.42,3.6,15852,812.4
UT,2019-03-01,149.54,2.7,1751,107.9
VT,2019-03-01,137.82,2.1,148,15.0
VA,2019-03-01,131.56,2.9,2496,435.1
WA,2019-03-01,141.51,4.6,4294,211.3
WV,2019-03-01,108.42,4.9,327,26.7
WI,2019-03-01,125.65,3.1,1128,114.8
WY,2019-03-01,117.02,3.5,138,9.8
AL,2019-04-01,127.33,3.3,1500,106.6
AK,2019-04-01,112.98,5.7,150,13.3
AZ,2019-04-01,147.3,4.9,4590,158.1
AR,2019-04-01,128.1,3.4,758,43.6
CA,2019-04-01,147.32,4.1,9045,1320.6
CO,2019-04-01,146.42,2.6,3593,233.0
CT,2019-04-01,122.91,3.5,721,95.8
DE,2019-04-01,126.96,3.5,413,26.4
FL,2019-04-01,149.22,3.3,14518,590.5
GA,2019-04-01,143.47,3.7,4440,282.2
HI,2019-04-01,119.91,2.6,153,24.8
ID,2019-04-01,145.14,2.9,1365,40.5
IL,2019-04-01,123.95,4.2,3378,424.7
IN,2019-04-01,126.82,3.3,2130,121.8
IA,2019-04-01,127.99,2.6,1000,52.9
KS,2019-04-01,131.16,3.2,869,74.5
KY,2019-04-01,128.21,4.1,1245,76.2
LA,2019-04-01,111.1,4.4,1442,90.1
ME,2019-04-01,131.79,2.8,318,28.0
MD,2019-04-01,128.4,3.4,1805,257.5
MA,2019-04-01,143.62,3.1,1021,340.3
MI,2019-04-01,122.76,4.2,2035,297.4
MN,2019-04-01,138.04,3.2,2570,159.2
MS,2019-04-01,119.18,5.4,593,31.1
MO,2019-04-01,130.87,3.1,1107,162.0
MT,2019-04-01,117.94,3.5,413,22.8
NE,2019-04-01,131.96,3.1,734,46.0
NV,2019-04-01,133.47,4.1,1310,61.0
NH,2019-04-01,146.19,2.6,280,38.8
NJ,2019-04-01,129.29,3.2,1900,307.3
NM,2019-04-01,124.85,5.0,484,
NY,2019-04-01,126.49,3.8,3752,698.7
NC,2019-04-01,136.43,3.9,5588,261.0
ND,2019-04-01,141.8,2.2,281,16.1
OH,2019-04-01,125.02,3.9,2133,267.9
OK,2019-04-01,129.33,3.1,904,75.2
OR,2019-04-01,143.13,3.9,1820,99.9
PA,2019-04-01,121.57,4.2,1936,360.5
RI,2019-04-01,125.45,3.5,86,25.6
SC,2019-04-01,148.22,3.1,3114,100.6
SD,2019-04-01,128.87,2.8,450,
TN,2019-04-01,137.19,3.4,2948,144.9
TX,2019-04-01,146.91,3.5,15895,816.3
UT,2019-04-01,150.25,2.6,2608,108.2
VT,2019-04-01,138.42,2.0,179,14.8
VA,2019-04-01,132.04,2.8,3186,435.9
WA,2019-04-01,142.53,4.4,5077,212.9
WV,2019-04-01,109.14,4.8,227,26.7
WI,2019-04-01,125.68,3.2,1967,114.8
WY,2019-04-01,117.21,3.5,207,9.8
AL,2019-05-01,127.96,3.2,1296,106.8
AK,2019-05-01,113.21,5.6,192,13.1
AZ,2019-05-01,147.97,4.8,4282,158.5
AR,2019-05-01,128.33,3.4,945,43.5
CA,2019-05-01,148.0,4.0,9883,1323.9
CO,2019-05-01,146.92,2.6,3653,233.7
CT,2019-05-01,123.04,3.5,341,95.8
DE,2019-05-01,127.16,3.5,586,26.1
FL,2019-05-01,149.63,3.3,12393,591.1
GA,2019-05-01,143.93,3.6,4346,282.7
HI,2019-05-01,120.1,2.6,866,24.9
ID,2019-05-01,145.9,2.8,1751,40.7
IL,2019-05-01,124.62,4.0,2094,425.9
IN,2019-05-01,127.1,3.2,1838,122.2
IA,2019-05-01,128.19,2.6,1113,52.8
KS,2019-05-01,131.71,3.1,782,74.4
KY,2019-05-01,128.42,4.1,1304,76.3
LA,2019-05-01,111.05,4.4,1303,89.9
ME,2019-05-01,132.38,2.7,431,28.0
MD,2019-05-01,128.65,3.4,2244,257.6
MA,2019-05-01,144.38,3.0,1069,341.8
MI,2019-05-01,122.82,4.2,2387,297.7
MN,2019-05-01,138.38,3.2,3281,159.2
MS,2019-05-01,119.4,5.4,701,31.3
MO,2019-05-01,131.06,3.1,1431,162.0
MT,2019-05-01,118.7,3.4,367,22.8
NE,2019-05-01,132.25,3.1,905,46.1
NV,2019-05-01,133.88,4.1,1673,61.3
NH,2019-05-01,146.87,2.5,251,38.7
NJ,2019-05-01,129.49,3.2,2411,306.9
NM,2019-05-01,125.18,5.0,474,
NY,2019-05-01,126.68,3.8,2599,698.8
NC,2019-05-01,136.83,3.8,7763,261.6
ND,2019-05-01,142.7,2.1,314,16.2
OH,2019-05-01,125.19,3.9,1759,268.3
OK,2019-05-01,129.68,3.0,980,75.1
OR,2019-05-01,143.73,3.8,1658,100.2
PA,2019-05-01,121.74,4.2,1872,361.5
RI,2019-05-01,125.66,3.5,107,25.7
SC,2019-05-01,149.3,2.9,3617,101.3
SD,2019-05-01,129.09,2.8,400,
TN,2019-05-01,137.77,3.3,4487,145.2
TX,2019-05-01,147.44,3.4,19081,819.1
UT,2019-05-01,150.82,2.6,2799,108.5
VT,2019-05-01,138.67,2.0,113,14.9
VA,2019-05-01,132.52,2.7,2761,435.8
WA,2019-05-01,143.17,4.3,4339,213.9
WV,2019-05-01,109.23,4.8,509,26.8
WI,2019-05-01,125.88,3.2,1642,114.9
WY,2019-05-01,117.51,3.5,240,9.9
AL,2019-06-01,128.98,3.0,1395,107.1
AK,2019-06-01,113.46,5.6,139,13.0
AZ,2019-06-01,148.39,4.8,4359,158.8
AR,2019-06-01,128.5,3.4,923,43.4
CA,2019-06-01,148.43,4.0,9014,1327.1
CO,2019-06-01,147.5,2.5,3902,234.6
CT,2019-06-01,123.17,3.5,336,95.7
DE,2019-06-01,127.37,3.5,636,26.2
FL,2019-06-01,150.32,3.2,10983,591.5
GA,2019-06-01,144.34,3.6,4056,283.0
HI,2019-06-01,120.5,2.5,338,25.0
ID,2019-06-01,146.3,2.8,1222,40.9
IL,2019-06-01,125.01,3.9,1284,425.9
IN,2019-06-01,127.36,3.2,2141,122.4
IA,2019-06-01,127.99,2.7,1427,52.9
KS,2019-06-01,131.94,3.1,611,74.5
KY,2019-06-01,128.59,4.1,953,76.2
LA,2019-06-01,111.02,4.5,1258,90.1
ME,2019-06-01,132.64,2.7,421,28.3
MD,2019-06-01,128.9,3.4,1741,258.5
MA,2019-06-01,144.71,3.0,1378,343.5
MI,2019-06-01,122.9,4.2,1832,297.1
MN,2019-06-01,138.65,3.2,2208,159.7
MS,2019-06-01,119.48,5.5,568,31.4
MO,2019-06-01,131.21,3.1,1131,162.2
MT,2019-06-01,118.98,3.4,364,23.0
NE,2019-06-01,132.47,3.1,779,46.2
NV,2019-06-01,134.52,4.0,2230,61.7
NH,2019-06-01,147.23,2.5,329,38.8
NJ,2019-06-01,129.72,3.2,2715,307.4
NM,2019-06-01,125.65,4.9,418,
NY,2019-06-01,126.87,3.8,3684,699.6
NC,2019-06-01,137.11,3.9,6114,262.6
ND,2019-06-01,143.06,2.1,219,16.3
OH,2019-06-01,125.37,3.9,1907,268.5
OK,2019-06-01,129.84,3.0,858,74.9
OR,2019-06-01,144.32,3.7,1283,100.1
PA,2019-06-01,121.92,4.2,2687,362.3
RI,2019-06-01,125.82,3.5,102,25.6
SC,2019-06-01,150.4,2.7,2774,101.7
SD,2019-06-01,129.25,2.8,395,
TN,2019-06-01,138.22,3.2,3046,146.3
TX,2019-06-01,148.06,3.4,15176,821.7
UT,2019-06-01,151.34,2.5,2883,109.3
VT,2019-06-01,138.96,2.0,118,15.1
VA,2019-06-01,133.19,2.5,2918,437.5
