state_code,date,PHCI,UR,BPPRIV,NAICS54
KS,2019-12-01,133.35,3.1,497,74.8
KY,2019-12-01,130.13,4.0,712,77.9
LA,2019-12-01,110.84,4.8,1099,89.6
ME,2019-12-01,132.66,3.1,189,28.6
MD,2019-12-01,130.99,3.2,1557,259.6
MA,2019-12-01,146.6,3.0,1410,350.2
MI,2019-12-01,124.9,3.8,1105,300.3
MN,2019-12-01,139.35,3.4,2979,160.4
MS,2019-12-01,120.15,5.5,515,31.7
MO,2019-12-01,131.19,3.4,1311,164.2
MT,2019-12-01,119.45,3.5,189,23.7
NE,2019-12-01,134.12,3.1,410,46.7
NV,2019-12-01,136.7,4.1,1276,63.3
NH,2019-12-01,149.6,2.5,202,39.5
NJ,2019-12-01,129.43,3.9,2690,309.2
NM,2019-12-01,127.38,5.0,308,
NY,2019-12-01,127.44,4.0,4560,702.5
NC,2019-12-01,139.18,3.7,5044,268.4
ND,2019-12-01,145.21,2.0,35,16.3
OH,2019-12-01,125.48,4.3,1384,269.9
OK,2019-12-01,130.89,3.1,803,76.1
OR,2019-12-01,147.33,3.4,1821,101.1
PA,2019-12-01,122.64,4.4,2214,364.2
RI,2019-12-01,127.23,3.4,113,26.0
SC,2019-12-01,152.71,2.6,2509,102.0
SD,2019-12-01,131.84,2.6,304,
TN,2019-12-01,139.73,3.4,3190,148.7
TX,2019-12-01,150.39,3.5,14714,842.4
UT,2019-12-01,154.33,2.4,1559,111.4
VT,2019-12-01,140.0,2.1,58,15.4
VA,2019-12-01,134.52,2.7,2468,442.3
WA,2019-12-01,147.5,3.7,4441,218.4
WV,2019-12-01,107.66,5.1,196,26.2
WI,2019-12-01,127.09,3.2,870,116.5
WY,2019-12-01,117.22,4.2,68,9.7
AL,2020-01-01,129.52,3.2,1548,108.9
AK,2020-01-01,114.36,5.3,109,13.3
AZ,2020-01-01,151.86,4.8,5080,161.1
AR,2020-01-01,130.32,3.5,842,43.5
CA,2020-01-01,150.47,4.3,8673,1353.9
CO,2020-01-01,149.72,3.0,3242,241.4
CT,2020-01-01,123.37,3.8,278,96.2
DE,2020-01-01,128.51,3.6,538,25.9
FL,2020-01-01,153.93,3.0,14395,605.6
GA,2020-01-01,147.14,3.6,4431,288.8
HI,2020-01-01,122.65,2.2,151,24.8
ID,2020-01-01,149.4,2.8,1424,42.1
IL,2020-01-01,126.77,3.7,1142,427.7
IN,2020-01-01,128.36,3.4,1304,124.8
IA,2020-01-01,129.28,2.7,511,53.6
KS,2020-01-01,133.57,3.1,512,75.1
KY,2020-01-01,130.01,4.1,1157,78.3
LA,2020-01-01,111.04,4.7,1259,90.2
ME,2020-01-01,132.59,3.2,234,28.6
MD,2020-01-01,130.84,3.3,1448,260.3
MA,2020-01-01,146.91,3.0,1806,348.9
MI,2020-01-01,124.84,3.8,1366,298.5
MN,2020-01-01,139.58,3.4,1577,160.1
MS,2020-01-01,120.47,5.6,665,31.8
MO,2020-01-01,131.34,3.4,1371,165.0
MT,2020-01-01,119.61,3.5,299,23.8
NE,2020-01-01,134.69,3.0,600,46.9
NV,2020-01-01,136.81,4.2,1610,63.3
NH,2020-01-01,149.95,2.5,231,39.6
NJ,2020-01-01,129.45,4.0,2407,310.0
NM,2020-01-01,127.54,5.1,371,
NY,2020-01-01,127.41,4.1,4991,701.8
NC,2020-01-01,139.54,3.8,5553,268.2
ND,2020-01-01,144.99,2.1,36,16.4
OH,2020-01-01,125.45,4.4,2624,270.4
OK,2020-01-01,131.07,3.1,846,75.4
OR,2020-01-01,147.65,3.4,1058,101.4
PA,2020-01-01,122.85,4.4,2208,364.5
RI,2020-01-01,127.22,3.5,91,26.4
SC,2020-01-01,152.37,2.8,2868,101.6
SD,2020-01-01,132.69,2.5,135,
TN,2020-01-01,140.05,3.4,3560,148.1
TX,2020-01-01,150.61,3.5,17885,846.2
UT,2020-01-01,154.64,2.5,2088,112.4
VT,2020-01-01,140.27,2.1,83,15.4
VA,2020-01-01,134.67,2.8,2671,444.9
WA,2020-01-01,148.19,3.6,3615,219.1
WV,2020-01-01,107.05,5.2,269,26.2
WI,2020-01-01,127.49,3.1,902,115.9
WY,2020-01-01,116.97,4.4,103,9.8
AL,2020-02-01,129.23,3.3,1380,109.2
AK,2020-02-01,114.39,5.4,114,13.2
AZ,2020-02-01,152.32,4.8,4851,161.5
AR,2020-02-01,130.49,3.6,688,43.5
CA,2020-02-01,150.54,4.4,8759,1360.8
CO,2020-02-01,149.81,3.2,3121,242.3
CT,2020-02-01,123.56,3.8,442,96.4
DE,2020-02-01,128.7,3.6,578,25.6
FL,2020-02-01,154.35,3.0,12111,607.8
GA,2020-02-01,147.44,3.6,4183,290.0
HI,2020-02-01,122.79,2.2,182,24.8
ID,2020-02-01,149.77,2.8,1244,42.5
IL,2020-02-01,126.69,3.8,1247,429.0
IN,2020-02-01,128.39,3.5,1187,125.5
IA,2020-02-01,129.46,2.7,438,53.7
KS,2020-02-01,133.77,3.1,523,75.4
KY,2020-02-01,130.2,4.1,891,78.4
LA,2020-02-01,111.13,4.7,1274,90.2
ME,2020-02-01,132.75,3.2,254,28.7
MD,2020-02-01,130.7,3.4,1246,260.2
MA,2020-02-01,146.79,3.1,850,350.6
MI,2020-02-01,124.89,3.8,1155,299.0
MN,2020-02-01,139.44,3.5,1015,159.9
MS,2020-02-01,120.55,5.7,557,32.6
MO,2020-02-01,131.53,3.4,1339,165.6
MT,2020-02-01,119.75,3.5,273,23.9
NE,2020-02-01,134.98,3.0,568,47.2
NV,2020-02-01,136.56,4.4,1800,63.3
NH,2020-02-01,150.16,2.6,277,39.7
NJ,2020-02-01,129.46,4.1,1757,310.7
NM,2020-02-01,127.44,5.3,374,
NY,2020-02-01,127.32,4.2,2180,702.6
NC,2020-02-01,139.85,3.8,5691,268.6
ND,2020-02-01,144.73,2.2,47,16.5
OH,2020-02-01,125.36,4.5,1698,270.9
OK,2020-02-01,131.04,3.2,909,75.5
OR,2020-02-01,147.48,3.6,888,101.5
PA,2020-02-01,122.54,4.6,1955,365.4
RI,2020-02-01,127.26,3.6,89,26.3
SC,2020-02-01,152.19,2.9,2824,101.5
SD,2020-02-01,133.09,2.5,207,
TN,2020-02-01,140.13,3.5,3399,148.7
TX,2020-02-01,151.09,3.6,16275,850.3
UT,2020-02-01,155.05,2.5,1877,112.8
VT,2020-02-01,140.06,2.2,102,15.4
VA,2020-02-01,134.78,2.9,2573,444.6
WA,2020-02-01,148.09,3.8,3293,219.9
WV,2020-02-01,106.45,5.3,200,26.2
WI,2020-02-01,127.61,3.1,916,116.0
WY,2020-02-01,116.55,4.6,103,9.7
AL,2020-03-01,128.96,3.4,1573,109.2
AK,2020-03-01,114.37,5.4,42,13.2
AZ,2020-03-01,152.3,4.9,4463,161.4
AR,2020-03-01,130.39,4.8,1143,43.4
CA,2020-03-01,147.7,5.5,7949,1350.1
CO,2020-03-01,149.7,3.4,3748,242.4
CT,2020-03-01,123.43,3.9,643,96.2
DE,2020-03-01,123.87,5.0,593,25.5
FL,2020-03-01,151.8,4.0,13674,606.1
GA,2020-03-01,147.41,3.7,3814,289.9
HI,2020-03-01,123.11,2.1,343,24.7
ID,2020-03-01,150.18,2.8,1373,42.6
IL,2020-03-01,123.69,5.1,1850,425.5
IN,2020-03-01,128.05,3.6,1664,125.1
IA,2020-03-01,129.52,2.7,979,53.7
KS,2020-03-01,133.91,3.1,427,75.6
KY,2020-03-01,130.28,4.1,895,78.3
LA,2020-03-01,109.13,6.7,1674,89.6
ME,2020-03-01,132.85,3.2,378,28.5
MD,2020-03-01,130.44,3.5,1604,259.3
MA,2020-03-01,146.91,3.1,1105,350.6
MI,2020-03-01,124.93,3.7,1134,298.9
MN,2020-03-01,139.09,3.6,2216,159.6
MS,2020-03-01,120.23,5.9,723,32.4
MO,2020-03-01,130.82,3.6,1187,165.2
MT,2020-03-01,119.88,3.5,323,23.9
NE,2020-03-01,132.0,4.4,593,47.2
NV,2020-03-01,127.52,7.2,1712,62.8
NH,2020-03-01,150.26,2.6,290,39.7
NJ,2020-03-01,129.49,4.1,2762,310.7
NM,2020-03-01,126.75,5.9,431,
NY,2020-03-01,127.2,4.2,1949,700.4
NC,2020-03-01,139.75,4.0,6699,268.3
ND,2020-03-01,143.52,2.5,261,16.4
OH,2020-03-01,124.56,4.8,1449,269.9
OK,2020-03-01,131.02,3.2,1473,75.4
OR,2020-03-01,147.25,3.7,2143,100.9
PA,2020-03-01,122.01,4.8,1751,364.6
RI,2020-03-01,126.99,3.7,97,26.3
SC,2020-03-01,151.7,3.1,3460,101.4
SD,2020-03-01,133.71,2.4,493,
TN,2020-03-01,140.36,3.5,3210,148.8
TX,2020-03-01,149.89,5.0,19293,850.6
UT,2020-03-01,155.4,2.5,3056,113.0
VT,2020-03-01,139.29,2.4,213,15.4
VA,2020-03-01,134.37,3.2,2632,444.4
WA,2020-03-01,142.74,6.0,3876,220.2
WV,2020-03-01,106.31,5.3,293,26.0
WI,2020-03-01,127.77,3.0,1445,115.7
WY,2020-03-01,116.09,4.8,123,9.8
AL,2020-04-01,89.49,13.8,1665,104.5
AK,2020-04-01,106.76,11.6,98,12.1
AZ,2020-04-01,128.88,13.8,3316,155.2
AR,2020-04-01,125.42,10.1,1099,41.5
CA,2020-04-01,119.1,16.1,5987,1262.1
CO,2020-04-01,133.23,11.2,3284,233.2
CT,2020-04-01,112.0,8.3,401,90.6
DE,2020-04-01,96.46,13.1,536,24.5
FL,2020-04-01,126.29,13.3,12223,579.5
GA,2020-04-01,135.12,12.5,3117,276.3
HI,2020-04-01,73.29,22.5,241,22.9
ID,2020-04-01,121.34,11.8,1055,41.1
IL,2020-04-01,94.99,18.3,1382,405.0
IN,2020-04-01,99.81,16.9,2064,118.0
IA,2020-04-01,99.75,11.0,858,51.5
KS,2020-04-01,100.87,12.1,580,71.7
KY,2020-04-01,92.23,16.7,778,73.0
LA,2020-04-01,95.91,13.5,1208,84.1
ME,2020-04-01,114.0,9.3,481,27.4
MD,2020-04-01,111.04,9.0,1131,249.3
MA,2020-04-01,88.18,17.8,548,337.4
MI,2020-04-01,76.13,22.7,727,267.3
MN,2020-04-01,115.41,8.9,2107,151.3
MS,2020-04-01,107.5,15.6,695,30.6
MO,2020-04-01,100.97,11.6,1226,156.9
MT,2020-04-01,79.19,11.9,317,22.4
NE,2020-04-01,121.36,8.2,829,45.8
NV,2020-04-01,66.85,30.5,1032,57.4
NH,2020-04-01,114.38,16.0,231,37.5
NJ,2020-04-01,104.77,15.0,1227,291.4
NM,2020-04-01,119.52,9.0,361,
NY,2020-04-01,96.83,15.7,1077,646.8
NC,2020-04-01,127.4,14.2,4886,256.0
ND,2020-04-01,118.27,8.7,419,15.5
OH,2020-04-01,97.34,16.5,1900,252.6
OK,2020-04-01,110.54,12.5,1059,72.1
OR,2020-04-01,120.76,13.7,1800,96.5
PA,2020-04-01,96.05,16.1,710,342.0
RI,2020-04-01,93.6,17.9,74,23.9
SC,2020-04-01,121.57,11.7,2717,95.7
SD,2020-04-01,100.95,8.8,405,
TN,2020-04-01,111.38,15.7,3743,142.9
TX,2020-04-01,138.89,12.8,16518,813.3
UT,2020-04-01,144.97,10.0,2228,109.3
VT,2020-04-01,95.07,14.1,119,14.6
VA,2020-04-01,116.92,11.9,2635,435.3
WA,2020-04-01,114.41,17.1,2716,213.2
WV,2020-04-01,60.36,15.8,322,23.9
WI,2020-04-01,105.07,14.1,1345,109.7
WY,2020-04-01,113.58,5.1,218,9.2
AL,2020-05-01,98.88,10.4,1334,106.2
AK,2020-05-01,105.32,11.7,113,12.0
AZ,2020-05-01,133.87,11.2,3128,157.1
AR,2020-05-01,125.11,8.9,1069,42.2
CA,2020-05-01,119.52,15.8,6705,1278.3
CO,2020-05-01,134.25,11.7,2604,235.8
CT,2020-05-01,103.0,11.9,661,91.5
DE,2020-05-01,92.98,13.4,441,24.8
FL,2020-05-01,124.54,14.1,11776,589.0
GA,2020-05-01,137.3,9.8,3898,278.8
HI,2020-05-01,73.96,20.7,258,23.4
ID,2020-05-01,126.56,9.1,1268,41.7
IL,2020-05-01,99.38,14.7,1234,407.8
IN,2020-05-01,108.92,12.5,2183,120.4
IA,2020-05-01,105.83,8.5,951,51.7
KS,2020-05-01,107.46,9.2,593,72.4
KY,2020-05-01,100.64,12.8,1090,74.0
LA,2020-05-01,94.92,12.3,1200,84.9
ME,2020-05-01,111.94,9.5,396,27.9
MD,2020-05-01,110.49,8.8,1550,252.5
MA,2020-05-01,97.04,14.3,1347,342.9
MI,2020-05-01,80.02,19.3,1538,271.7
MN,2020-05-01,106.96,11.1,2451,152.0
MS,2020-05-01,110.05,11.2,860,31.2
MO,2020-05-01,105.31,9.6,1403,158.3
MT,2020-05-01,84.2,9.2,471,22.9
NE,2020-05-01,123.93,6.4,565,46.1
NV,2020-05-01,84.7,24.7,1122,58.8
NH,2020-05-01,122.06,11.8,242,38.0
NJ,2020-05-01,102.9,15.4,1821,293.4
NM,2020-05-01,119.19,9.3,310,
NY,2020-05-01,94.25,16.7,2500,653.9
NC,2020-05-01,130.45,11.6,5341,260.0
ND,2020-05-01,114.94,7.3,240,15.8
OH,2020-05-01,104.1,12.8,2142,256.8
OK,2020-05-01,112.69,9.8,755,73.1
OR,2020-05-01,123.7,11.8,1268,97.7
PA,2020-05-01,101.96,12.9,1968,348.9
RI,2020-05-01,98.83,15.4,98,24.5
SC,2020-05-01,127.87,9.3,2731,97.4
SD,2020-05-01,109.68,6.6,514,
TN,2020-05-01,120.56,12.1,3699,144.0
TX,2020-05-01,140.44,11.7,15919,817.0
UT,2020-05-01,148.32,7.7,2226,110.8
VT,2020-05-01,106.51,9.6,138,14.9
VA,2020-05-01,120.61,10.0,3233,439.0
WA,2020-05-01,122.72,13.6,4557,213.3
WV,2020-05-01,71.11,12.5,287,24.5
WI,2020-05-01,113.01,10.5,1676,111.9
WY,2020-05-01,105.36,8.7,165,9.3
AL,2020-06-01,106.81,8.6,1684,107.3
AK,2020-06-01,105.2,11.2,147,12.0
AZ,2020-06-01,139.14,9.8,5394,158.3
AR,2020-06-01,125.32,7.9,967,42.2
CA,2020-06-01,125.23,13.8,8844,1278.1
CO,2020-06-01,134.96,11.2,3644,236.4
CT,2020-06-01,103.51,11.5,382,91.5
DE,2020-06-01,95.48,12.8,624,25.0
FL,2020-06-01,131.14,11.6,12709,597.0
GA,2020-06-01,142.42,8.4,4278,278.8
HI,2020-06-01,80.41,17.3,366,23.9
ID,2020-06-01,134.5,7.5,1441,42.3
IL,2020-06-01,104.87,12.6,1480,409.6
IN,2020-06-01,111.5,10.3,2286,121.7
IA,2020-06-01,112.42,6.8,1417,51.9
KS,2020-06-01,114.88,7.5,537,72.7
KY,2020-06-01,124.06,5.3,1215,75.3
LA,2020-06-01,96.7,11.0,1751,84.8
ME,2020-06-01,120.38,6.6,607,28.2
MD,2020-06-01,112.61,8.1,1423,253.6
MA,2020-06-01,98.42,14.7,1760,341.6
MI,2020-06-01,94.74,14.5,1807,280.9
MN,2020-06-01,114.58,8.9,3016,151.8
MS,2020-06-01,115.48,9.4,861,31.4
MO,2020-06-01,112.2,8.0,1522,158.3
MT,2020-06-01,91.91,7.7,305,23.3
NE,2020-06-01,126.98,5.3,822,46.2
NV,2020-06-01,95.11,18.9,1437,59.6
NH,2020-06-01,129.36,9.6,391,38.4
NJ,2020-06-01,105.47,14.5,3329,294.5
NM,2020-06-01,119.22,9.0,460,
NY,2020-06-01,101.29,13.6,3832,649.9
NC,2020-06-01,131.94,9.8,7052,262.4
ND,2020-06-01,120.58,6.5,433,15.6
OH,2020-06-01,109.2,11.0,2486,257.8
OK,2020-06-01,118.41,8.2,1223,72.9
OR,2020-06-01,128.93,10.2,1511,98.3
PA,2020-06-01,103.3,11.3,2200,351.0
RI,2020-06-01,100.92,13.4,151,25.0
SC,2020-06-01,134.43,7.8,3624,98.5
SD,2020-06-01,112.24,5.3,741,
TN,2020-06-01,123.36,10.2,3994,145.1
TX,2020-06-01,141.12,10.1,17601,819.7
UT,2020-06-01,150.05,6.4,2305,111.6
VT,2020-06-01,115.09,7.7,234,14.9
VA,2020-06-01,121.81,8.9,3034,438.0
WA,2020-06-01,123.89,11.7,3398,214.4
WV,2020-06-01,76.24,10.6,362,24.7
WI,2020-06-01,114.64,8.7,1697,112.1
WY,2020-06-01,109.42,7.3,190,9.4
AL,2020-07-01,111.68,7.5,2037,107.9
AK,2020-07-01,105.14,11.1,135,12.0
AZ,2020-07-01,141.0,9.0,5758,158.5
AR,2020-07-01,125.68,7.3,1102,42.5
CA,2020-07-01,127.49,13.1,10350,1273.9
CO,2020-07-01,141.84,6.5,4117,237.2
CT,2020-07-01,102.98,11.7,501,91.3
DE,2020-07-01,111.01,7.6,823,25.5
FL,2020-07-01,131.71,11.6,13053,598.7
GA,2020-07-01,142.86,7.7,4552,278.7
HI,2020-07-01,84.3,15.6,261,23.7
ID,2020-07-01,138.26,6.6,1399,42.5
IL,2020-07-01,108.19,11.4,1973,408.5
IN,2020-07-01,114.44,8.9,2518,122.8
IA,2020-07-01,115.85,6.0,1484,52.1
KS,2020-07-01,118.62,6.7,1034,72.7
KY,2020-07-01,124.19,5.8,984,76.0
LA,2020-07-01,98.0,10.4,1554,85.1
ME,2020-07-01,123.12,6.3,566,28.2
MD,2020-07-01,113.51,7.9,1294,255.4
MA,2020-07-01,105.36,12.5,1515,341.6
MI,2020-07-01,99.39,12.5,2038,284.3
MN,2020-07-01,119.85,7.8,2969,152.1
MS,2020-07-01,116.32,8.3,830,31.6
MO,2020-07-01,116.04,7.2,2243,158.8
MT,2020-07-01,95.76,6.7,462,23.2
NE,2020-07-01,129.16,4.6,699,47.4
NV,2020-07-01,99.28,16.7,1962,60.2
NH,2020-07-01,133.33,8.3,343,38.7
NJ,2020-07-01,107.04,14.4,2920,295.1
NM,2020-07-01,118.75,9.0,455,
NY,2020-07-01,104.43,12.6,3775,648.4
NC,2020-07-01,133.09,8.7,6122,263.9
ND,2020-07-01,120.87,6.2,457,15.4
OH,2020-07-01,112.16,9.8,2931,259.2
OK,2020-07-01,120.59,7.4,1254,72.6
OR,2020-07-01,132.25,9.2,1421,98.6
PA,2020-07-01,105.19,10.4,2797,352.1
RI,2020-07-01,102.96,12.2,89,25.2
SC,2020-07-01,137.41,7.1,4137,99.5
SD,2020-07-01,114.81,4.7,602,
TN,2020-07-01,126.1,9.0,5636,146.2
TX,2020-07-01,141.3,9.3,20183,821.4
UT,2020-07-01,151.24,5.7,2522,112.5
VT,2020-07-01,119.94,6.6,220,14.9
VA,2020-07-01,123.2,8.3,4380,441.0
WA,2020-07-01,125.96,10.5,3574,215.3
WV,2020-07-01,79.95,9.5,373,25.0
WI,2020-07-01,116.54,7.6,2367,113.0
WY,2020-07-01,109.47,6.8,231,9.2
AL,2020-08-01,116.94,6.3,1853,108.2
AK,2020-08-01,107.16,8.6,162,12.3
AZ,2020-08-01,144.84,7.9,4669,159.0
AR,2020-08-01,126.68,6.4,1208,42.5
CA,2020-08-01,131.04,11.8,8190,1276.0
CO,2020-08-01,142.02,6.2,4673,237.5
CT,2020-08-01,107.69,9.6,566,91.4
DE,2020-08-01,114.33,7.4,1111,25.6
FL,2020-08-01,139.71,8.6,15378,601.7
GA,2020-08-01,144.46,6.8,4962,280.0
HI,2020-08-01,90.18,13.0,286,23.7
ID,2020-08-01,142.71,5.4,1424,42.6
IL,2020-08-01,112.21,9.7,1212,408.9
IN,2020-08-01,118.21,7.2,1861,123.1
IA,2020-08-01,119.72,5.0,1217,51.5
KS,2020-08-01,122.51,5.8,573,72.8
KY,2020-08-01,126.4,5.2,1427,76.2
LA,2020-08-01,99.8,9.2,1609,85.4
ME,2020-08-01,129.13,4.2,515,28.3
MD,2020-08-01,115.87,7.2,1676,255.7
MA,2020-08-01,114.64,10.4,979,342.4
MI,2020-08-01,105.93,10.0,1611,285.4
MN,2020-08-01,124.73,6.7,3383,152.2
MS,2020-08-01,117.89,7.4,723,31.7
MO,2020-08-01,119.41,6.4,1687,159.3
MT,2020-08-01,101.95,5.6,527,23.3
NE,2020-08-01,131.72,3.8,657,46.4
NV,2020-08-01,106.63,13.9,1514,60.3
NH,2020-08-01,138.56,6.7,346,39.0
NJ,2020-08-01,109.65,13.3,2268,296.6
NM,2020-08-01,119.19,8.6,491,
NY,2020-08-01,109.18,10.8,3050,651.4
NC,2020-08-01,135.08,7.4,6826,265.0
ND,2020-08-01,124.1,5.6,330,15.3
OH,2020-08-01,115.67,8.3,2433,259.8
OK,2020-08-01,123.33,6.3,1177,72.3
OR,2020-08-01,135.86,7.9,1697,98.6
PA,2020-08-01,107.69,9.3,1958,352.7
RI,2020-08-01,106.69,10.4,122,25.6
SC,2020-08-01,141.25,6.2,3555,100.2
SD,2020-08-01,119.53,3.9,576,
TN,2020-08-01,129.46,7.6,5181,147.4
TX,2020-08-01,143.01,8.0,18613,823.9
UT,2020-08-01,152.79,4.8,2930,112.8
VT,2020-08-01,125.25,5.4,128,14.9
VA,2020-08-01,125.47,7.3,2260,441.8
WA,2020-08-01,129.79,9.0,3537,216.0
WV,2020-08-01,84.93,8.2,518,25.1
WI,2020-08-01,119.32,6.3,2028,113.3
WY,2020-08-01,110.84,6.2,163,9.2
AL,2020-09-01,119.27,5.9,1683,108.5
AK,2020-09-01,108.54,7.8,142,12.5
AZ,2020-09-01,146.63,7.5,4340,159.3
AR,2020-09-01,127.51,5.9,1235,42.5
CA,2020-09-01,136.31,9.9,9476,1281.4
CO,2020-09-01,142.92,6.3,4619,239.9
CT,2020-09-01,109.62,8.8,820,91.9
DE,2020-09-01,113.94,7.6,792,25.5
FL,2020-09-01,142.03,8.0,14408,604.6
GA,2020-09-01,145.23,6.5,5459,280.9
HI,2020-09-01,89.75,13.3,150,23.9
ID,2020-09-01,144.8,5.0,1585,43.0
IL,2020-09-01,114.06,9.1,1729,410.3
IN,2020-09-01,120.15,6.5,2475,123.3
IA,2020-09-01,121.72,4.6,1344,51.9
KS,2020-09-01,124.5,5.4,947,72.8
KY,2020-09-01,127.52,5.0,1305,76.4
LA,2020-09-01,100.6,8.7,1547,85.6
ME,2020-09-01,131.61,4.0,686,28.4
MD,2020-09-01,116.62,7.1,1932,258.0
MA,2020-09-01,118.15,9.6,1404,343.6
MI,2020-09-01,109.23,8.9,2040,288.7
MN,2020-09-01,127.44,6.2,2907,152.8
MS,2020-09-01,118.43,7.1,734,32.0
MO,2020-09-01,121.8,5.9,1604,160.4
MT,2020-09-01,104.97,5.2,408,23.6
NE,2020-09-01,133.36,3.4,866,46.8
NV,2020-09-01,109.82,12.7,2006,60.8
NH,2020-09-01,141.14,6.1,394,39.5
NJ,2020-09-01,121.82,7.4,3286,298.8
NM,2020-09-01,119.29,8.7,445,
NY,2020-09-01,111.48,10.2,3996,655.7
NC,2020-09-01,136.52,6.8,5905,267.7
ND,2020-09-01,126.07,5.3,469,15.4
OH,2020-09-01,117.74,7.6,2566,260.9
OK,2020-09-01,124.82,5.9,1431,72.3
OR,2020-09-01,137.46,7.5,1004,99.5
PA,2020-09-01,109.41,8.7,2262,355.0
RI,2020-09-01,107.82,10.0,136,25.9
SC,2020-09-01,143.38,5.8,3562,100.5
SD,2020-09-01,121.83,3.6,762,
TN,2020-09-01,131.03,7.1,4018,148.5
TX,2020-09-01,143.92,7.7,21319,827.7
UT,2020-09-01,153.82,4.5,2363,113.4
VT,2020-09-01,128.17,4.9,172,15.2
VA,2020-09-01,126.85,6.7,3028,443.9
WA,2020-09-01,132.25,8.2,4466,217.5
WV,2020-09-01,87.7,7.6,324,25.4
WI,2020-09-01,120.62,5.8,2203,114.0
WY,2020-09-01,111.52,5.9,196,9.3
AL,2020-10-01,122.37,5.2,1627,109.3
AK,2020-10-01,110.07,7.2,149,12.6
AZ,2020-10-01,148.66,7.0,5352,160.6
AR,2020-10-01,128.44,5.4,1252,42.8
CA,2020-10-01,138.71,9.3,8670,1298.1
CO,2020-10-01,144.04,6.2,4982,240.5
CT,2020-10-01,111.84,7.9,500,92.3
DE,2020-10-01,122.01,5.2,969,25.5
FL,2020-10-01,145.52,6.9,15768,609.7
GA,2020-10-01,146.46,5.6,5132,282.0
HI,2020-10-01,94.59,11.3,373,24.2
ID,2020-10-01,147.16,4.4,1502,43.2
IL,2020-10-01,116.25,8.2,1660,412.9
IN,2020-10-01,122.64,5.6,2719,124.4
IA,2020-10-01,123.55,4.2,1181,52.2
KS,2020-10-01,126.76,4.9,691,71.7
KY,2020-10-01,128.47,4.8,934,77.0
LA,2020-10-01,101.98,8.0,1556,86.7
ME,2020-10-01,132.26,3.8,607,28.8
MD,2020-10-01,118.2,6.7,1803,259.6
MA,2020-10-01,123.52,8.4,1135,345.4
MI,2020-10-01,112.35,7.7,2350,290.5
MN,2020-10-01,130.85,5.5,2914,153.7
MS,2020-10-01,119.18,6.7,698,32.1
MO,2020-10-01,124.04,5.4,1469,161.4
MT,2020-10-01,109.02,4.6,353,23.8
NE,2020-10-01,134.67,3.1,1079,46.9
NV,2020-10-01,114.9,11.1,1483,61.6
NH,2020-10-01,143.72,5.3,319,39.5
NJ,2020-10-01,123.94,7.1,3367,300.8
NM,2020-10-01,120.17,8.4,503,
NY,2020-10-01,114.11,9.2,3375,657.0
NC,2020-10-01,137.94,6.1,6359,270.2
ND,2020-10-01,128.67,4.8,340,15.5
OH,2020-10-01,119.97,6.7,3374,263.2
OK,2020-10-01,125.98,5.5,1200,72.6
OR,2020-10-01,139.55,6.8,1681,100.3
PA,2020-10-01,111.19,8.1,1931,355.9
RI,2020-10-01,114.9,7.0,115,26.1
SC,2020-10-01,145.53,5.3,4098,100.8
SD,2020-10-01,124.86,3.3,872,
TN,2020-10-01,133.59,6.3,4267,149.9
TX,2020-10-01,145.19,7.1,19374,831.3
UT,2020-10-01,155.29,4.0,3005,114.4
VT,2020-10-01,130.98,4.3,128,15.1
VA,2020-10-01,128.68,5.9,2288,444.4
WA,2020-10-01,135.18,7.3,3531,218.9
WV,2020-10-01,90.84,7.0,337,25.7
WI,2020-10-01,122.24,5.2,2415,114.7
WY,2020-10-01,112.49,5.6,132,9.3
AL,2020-11-01,124.27,4.8,1338,109.7
AK,2020-11-01,110.85,7.0,124,12.6
AZ,2020-11-01,150.0,6.7,4580,161.3
AR,2020-11-01,129.2,5.1,1307,43.0
CA,2020-11-01,139.94,9.0,8367,1298.2
CO,2020-11-01,144.53,6.2,3690,241.5
CT,2020-11-01,112.9,7.5,446,92.5
DE,2020-11-01,122.74,5.4,561,25.4
FL,2020-11-01,147.14,6.5,11634,612.6
GA,2020-11-01,147.32,5.3,4499,284.2
HI,2020-11-01,97.09,10.5,385,24.4
ID,2020-11-01,148.45,4.2,1490,43.2
IL,2020-11-01,117.27,7.8,1336,414.2
IN,2020-11-01,123.78,5.2,1834,125.2
IA,2020-11-01,123.81,4.2,1065,52.3
KS,2020-11-01,128.3,4.6,532,71.7
KY,2020-11-01,128.69,4.8,1113,77.0
LA,2020-11-01,102.93,7.6,1342,87.0
ME,2020-11-01,132.26,3.9,408,29.1
MD,2020-11-01,118.86,6.6,1403,259.8
MA,2020-11-01,126.5,7.8,1677,347.4
MI,2020-11-01,114.01,7.1,2133,290.6
MN,2020-11-01,132.87,5.1,2402,154.7
MS,2020-11-01,119.67,6.6,653,32.3
MO,2020-11-01,125.48,5.1,1615,162.2
MT,2020-11-01,111.83,4.3,274,23.9
NE,2020-11-01,135.42,3.0,1020,46.9
NV,2020-11-01,117.15,10.2,1943,61.9
NH,2020-11-01,145.28,4.9,448,39.5
NJ,2020-11-01,123.72,7.2,3198,302.1
NM,2020-11-01,120.32,8.4,407,
NY,2020-11-01,115.09,8.9,3682,657.5
NC,2020-11-01,138.68,5.9,7200,271.5
ND,2020-11-01,130.62,4.5,248,15.5
