Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
USA,United States,-- All industries --,VC,4775.340195,2012-01-01
USA,United States,-- All industries --,VC,7189.071544,2013-01-01
USA,United States,-- All industries --,VC,18673.618916,2014-01-01
USA,United States,-- All industries --,VC,24524.966816,2015-01-01
USA,United States,-- All industries --,VC,18966.17199,2016-01-01
USA,United States,-- All industries --,VC,29267.418839,2017-01-01
USA,United States,-- All industries --,VC,42287.773949,2018-01-01
USA,United States,-- All industries --,VC,49977.329763,2019-01-01
USA,United States,-- All industries --,VC,59921.309999,2020-01-01
USA,United States,-- All industries --,VC,128437.723534,2021-01-01
USA,United States,-- All industries --,VC,71810.5307435,2022-01-01
USA,United States,-- All industries --,VC,68942.026427,2023-01-01
USA,United States,-- All industries --,VC,95519.75044,2024-01-01
USA,United States,-- All industries --,VC,57513.829517,2025-01-01
CHN,China (People's Republic of),-- All industries --,VC,206.97333,2012-01-01
CHN,China (People's Republic of),-- All industries --,VC,539.7222675,2013-01-01
CHN,China (People's Republic of),-- All industries --,VC,3058.7491425,2014-01-01
CHN,China (People's Republic of),-- All industries --,VC,10338.6310675,2015-01-01
CHN,China (People's Republic of),-- All industries --,VC,18707.4441855,2016-01-01
CHN,China (People's Republic of),-- All industries --,VC,32420.552707,2017-01-01
CHN,China (People's Republic of),-- All industries --,VC,38020.3188985,2018-01-01
CHN,China (People's Republic of),-- All industries --,VC,25380.043099,2019-01-01
CHN,China (People's Republic of),-- All industries --,VC,32059.042934,2020-01-01
CHN,China (People's Republic of),-- All industries --,VC,53029.5428915,2021-01-01
CHN,China (People's Republic of),-- All industries --,VC,25001.399364,2022-01-01
CHN,China (People's Republic of),-- All industries --,VC,20762.697827,2023-01-01
CHN,China (People's Republic of),-- All industries --,VC,16958.0317585,2024-01-01
CHN,China (People's Republic of),-- All industries --,VC,5692.8006245,2025-01-01
GBR,United Kingdom,-- All industries --,VC,183.3471655,2012-01-01
GBR,United Kingdom,-- All industries --,VC,201.576535,2013-01-01
GBR,United Kingdom,-- All industries --,VC,284.945876,2014-01-01
GBR,United Kingdom,-- All industries --,VC,789.9921945,2015-01-01
GBR,United Kingdom,-- All industries --,VC,878.143253,2016-01-01
GBR,United Kingdom,-- All industries --,VC,2053.6566355,2017-01-01
GBR,United Kingdom,-- All industries --,VC,2251.6846805,2018-01-01
GBR,United Kingdom,-- All industries --,VC,3582.61554,2019-01-01
GBR,United Kingdom,-- All industries --,VC,3265.697137,2020-01-01
GBR,United Kingdom,-- All industries --,VC,8865.314474,2021-01-01
GBR,United Kingdom,-- All industries --,VC,7987.407164,2022-01-01
GBR,United Kingdom,-- All industries --,VC,4027.215552,2023-01-01
GBR,United Kingdom,-- All industries --,VC,5188.00727,2024-01-01
GBR,United Kingdom,-- All industries --,VC,8904.47965,2025-01-01
DEU,Germany,-- All industries --,VC,35.005733,2012-01-01
DEU,Germany,-- All industries --,VC,124.507735,2013-01-01
DEU,Germany,-- All industries --,VC,176.159331,2014-01-01
DEU,Germany,-- All industries --,VC,532.6568685,2015-01-01
DEU,Germany,-- All industries --,VC,304.173217,2016-01-01
DEU,Germany,-- All industries --,VC,551.399102,2017-01-01
DEU,Germany,-- All industries --,VC,859.38458,2018-01-01
DEU,Germany,-- All industries --,VC,2054.9125315,2019-01-01
DEU,Germany,-- All industries --,VC,1671.522178,2020-01-01
DEU,Germany,-- All industries --,VC,5824.855305,2021-01-01
DEU,Germany,-- All industries --,VC,4624.696756,2022-01-01
DEU,Germany,-- All industries --,VC,3200.287268,2023-01-01
DEU,Germany,-- All industries --,VC,4074.576439,2024-01-01
DEU,Germany,-- All industries --,VC,2396.976164,2025-01-01
ISR,Israel,-- All industries --,VC,249.451485,2012-01-01
ISR,Israel,-- All industries --,VC,115.83,2013-01-01
ISR,Israel,-- All industries --,VC,326.6,2014-01-01
ISR,Israel,-- All industries --,VC,420.893775,2015-01-01
ISR,Israel,-- All industries --,VC,518.52,2016-01-01
ISR,Israel,-- All industries --,VC,1034.944101,2017-01-01
ISR,Israel,-- All industries --,VC,1231.788088,2018-01-01
ISR,Israel,-- All industries --,VC,1793.653814,2019-01-01
ISR,Israel,-- All industries --,VC,2440.670603,2020-01-01
ISR,Israel,-- All industries --,VC,5221.223867,2021-01-01
ISR,Israel,-- All industries --,VC,5211.069134,2022-01-01
ISR,Israel,-- All industries --,VC,1862.247265,2023-01-01
ISR,Israel,-- All industries --,VC,1859.506361,2024-01-01
ISR,Israel,-- All industries --,VC,1673.938053,2025-01-01
CAN,Canada,-- All industries --,VC,130.419316,2012-01-01
CAN,Canada,-- All industries --,VC,169.512608,2013-01-01
CAN,Canada,-- All industries --,VC,254.42679,2014-01-01
CAN,Canada,-- All industries --,VC,387.772484,2015-01-01
CAN,Canada,-- All industries --,VC,738.801018,2016-01-01
CAN,Canada,-- All industries --,VC,921.7392305,2017-01-01
CAN,Canada,-- All industries --,VC,1424.641523,2018-01-01
CAN,Canada,-- All industries --,VC,1976.896573,2019-01-01
CAN,Canada,-- All industries --,VC,1742.7914785,2020-01-01
CAN,Canada,-- All industries --,VC,5577.47256,2021-01-01
CAN,Canada,-- All industries --,VC,3747.2085085,2022-01-01
CAN,Canada,-- All industries --,VC,2311.539674,2023-01-01
CAN,Canada,-- All industries --,VC,3318.440675,2024-01-01
CAN,Canada,-- All industries --,VC,950.175498,2025-01-01
KOR,Korea,-- All industries --,VC,97.664679,2012-01-01
KOR,Korea,-- All industries --,VC,16.0182455,2013-01-01
KOR,Korea,-- All industries --,VC,106.329336,2014-01-01
KOR,Korea,-- All industries --,VC,111.9222395,2015-01-01
KOR,Korea,-- All industries --,VC,178.8551125,2016-01-01
KOR,Korea,-- All industries --,VC,720.7531220000001,2017-01-01
KOR,Korea,-- All industries --,VC,1098.756355,2018-01-01
