Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,quality_index,ref_date,type
ISR,Israel,ALL,-- All countries --,All,,2023-08-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2023-09-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2023-10-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2023-11-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2023-12-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2024-01-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2024-02-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2024-03-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2024-04-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2024-05-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,2024-06-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.42,2024-07-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.4633333333333333,2024-08-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.5145454545454545,2024-09-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.5199999999999999,2024-10-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.5199999999999999,2024-11-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.5199999999999999,2024-12-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.5199999999999999,2025-01-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.5199999999999999,2025-02-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.5145454545454545,2025-03-01,Text-to-text
ISR,Israel,ALL,-- All countries --,All,0.5145454545454545,2025-04-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,,2024-06-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,,2024-07-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,,2024-08-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,0.51,2024-09-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,0.52,2024-10-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,0.51,2024-11-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,0.51,2024-12-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,0.51,2025-01-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,0.51,2025-02-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,0.51,2025-03-01,Text-to-text
KOR,Korea,ALL,-- All countries --,All,0.51,2025-04-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-02-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-03-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-04-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-05-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-06-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2023-07-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-07-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-08-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-09-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-10-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-11-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2023-12-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-01-01,Text-to-text
