Year,Number of RAI papers,Label
2019,55,China
2020,101,China
2021,148,China
2022,235,China
2023,293,China
2024,268,China
2019,126,Europe
2020,151,Europe
2021,271,Europe
2022,351,Europe
2023,457,Europe
2024,298,Europe
2019,277,United States
2020,375,United States
2021,544,United States
2022,547,United States
2023,746,United States
2024,669,United States
