Year,Conference,Count
2019,aaai,7
2019,aies,8
2019,facct,17
2019,icml,10
2019,neurips,15
2020,aaai,27
2020,aies,4
2020,facct,36
2020,iclr,3
2020,icml,13
2020,neurips,15
2021,aaai,38
2021,aies,27
2021,facct,39
2021,iclr,9
2021,icml,8
2021,neurips,29
2022,aaai,29
2022,aies,13
2022,facct,75
2022,iclr,11
2022,icml,7
2022,neurips,34
2023,aaai,36
2023,aies,33
2023,facct,65
2023,iclr,27
2023,icml,5
2023,neurips,46
2024,aaai,100
2024,aies,48
2024,facct,83
2024,iclr,50
2024,icml,44
2024,neurips,83
