Year,Conference,Count
2019,aaai,1
2019,iclr,2
2019,icml,4
2019,neurips,32
2020,aaai,5
2020,facct,5
2020,iclr,5
2020,icml,12
2020,neurips,97
2021,aaai,15
2021,aies,3
2021,facct,4
2021,iclr,6
2021,icml,17
2021,neurips,105
2022,facct,7
2022,aaai,13
2022,iclr,9
2022,icml,15
2022,neurips,48
2023,aaai,18
2023,aies,1
2023,facct,6
2023,iclr,21
2023,icml,7
2023,neurips,160
2024,aaai,36
2024,aies,7
2024,facct,8
2024,iclr,21
2024,icml,43
2024,neurips,71
