Year,Conference,Count
2019,aaai,33
2019,aies,1
2019,facct,1
2019,iclr,32
2019,icml,24
2019,neurips,71
2020,aaai,65
2020,aies,2
2020,facct,3
2020,iclr,41
2020,icml,33
2020,neurips,24
2021,aaai,75
2021,aies,3
2021,facct,6
2021,iclr,51
2021,icml,37
2021,neurips,43
2022,aaai,64
2022,aies,3
2022,facct,16
2022,iclr,9
2022,icml,41
2022,neurips,152
2023,aaai,78
2023,aies,13
2023,facct,11
2023,iclr,77
2023,icml,9
2023,neurips,88
2024,aaai,120
2024,aies,26
2024,facct,19
2024,iclr,79
2024,icml,100
2024,neurips,177
