"Number of AI-Related Bills passed into law, 2024",US State
22,California
12,Utah
8,Maryland
6,Virginia
5,Illinois
5,New Hampshire
5,New York
4,Alabama
4,Arizona
4,Colorado
4,Florida
4,Massachusetts
4,Mississippi
4,Tennessee
3,Idaho
