Year,Public spending on AI-related contracts  (in millions of US dollars),Label
2016,2.61234043197326,Belgium
2017,0.3673733476986761,Belgium
2018,0.4833926390546729,Belgium
2019,36.61816603221102,Belgium
2020,3.66642020639546,Belgium
2021,4.773915572727542,Belgium
2022,27.30361076339403,Belgium
2023,8.345318624920703,Belgium
2014,0.1616279261486411,France
2015,0.392465935648276,France
2016,1.989531976598883,France
2017,0.9204582924467394,France
2018,6.735895830297422,France
2019,62.57260889680923,France
2020,13.63008161273439,France
2021,12.5938137112097,France
2022,72.66467326354218,France
2023,18.44227351453526,France
2013,0.7754908136046204,Germany
2014,0.4189171593082684,Germany
2016,0.6179977948448141,Germany
2017,29.9242213794724,Germany
2018,6.016436248245846,Germany
2019,77.32831418863157,Germany
2020,23.57244970171888,Germany
2021,47.6921832983514,Germany
2022,42.55807101004773,Germany
2023,49.55232301146678,Germany
2013,1.688808826702551,Spain
2015,0.1312868842760274,Spain
2017,0.4695225458960464,Spain
2018,0.7327670090395121,Spain
2019,3.74359387536989,Spain
2020,13.09733913156706,Spain
2021,2.899771287330685,Spain
2022,27.3601593924544,Spain
2023,49.58958698779017,Spain
2013,0.3727360986847826,United Kingdom
2014,0.01233552154545454,United Kingdom
2015,0.575968001890909,United Kingdom
2016,2.104929224550715,United Kingdom
2017,7.766521039531121,United Kingdom
2018,29.48890891867249,United Kingdom
2019,19.86305535735819,United Kingdom
2020,21.08028429247938,United Kingdom
2021,138.2036961202199,United Kingdom
2022,78.62935344403687,United Kingdom
2023,262.7716599673945,United Kingdom
