Public spending on AI-related contracts (in millions of U.S. dollars),Country
830.97829171,United States
262.5886434688056,United Kingdom
49.58958698779017,Spain
49.55232301146678,Germany
36.88897579431703,Greece
31.12631523548312,Romania
26.08104154760456,Ireland
22.98186890577564,Poland
18.44227351453526,France
16.84187894450524,Hungary
10.48191043085113,Italy
10.13587751613437,Austria
8.3453186249207,Belgium
5.784437520875026,Czech Republic
4.771155814531438,Sweden
