State,Status
AL,Enacted in 2024
AK,Legislation pending
AZ,Enacted in 2024
AR,Legislation pending
CA,Enacted pre-2024
CO,Enacted in 2024
CT,Legislation pending
DE,Legislation pending
FL,Enacted in 2024
GA,No legislation enacted
HI,Enacted in 2024
ID,Enacted in 2024
IL,Legislation pending
IN,Enacted in 2024
IA,No legislation enacted
KS,No legislation enacted
KY,Legislation pending
LA,No legislation enacted
ME,No legislation enacted
MD,Legislation pending
MA,Legislation pending
MI,Enacted pre-2024
MN,Enacted pre-2024
MS,Enacted in 2024
MO,Legislation pending
MT,Legislation pending
NE,Legislation pending
NV,Legislation pending
NH,Legislation pending
NJ,Legislation pending
NM,Enacted in 2024
NY,Enacted in 2024
NC,No legislation enacted
ND,Legislation pending
OH,No legislation enacted
OK,Legislation pending
OR,Enacted in 2024
PA,Legislation pending
RI,No legislation enacted
SC,Legislation pending
SD,Legislation pending
TN,No legislation enacted
TX,Enacted pre-2024
UT,Enacted in 2024
VT,Legislation pending
VA,Legislation pending
WA,Enacted pre-2024
WV,Legislation pending
WI,Legislation pending
WY,No legislation enacted
