threegroup,total_pct
Physicians + conventional resources only,37.03703704
Physicians + conventional resources only,18.65671642
Physicians + conventional resources only,23.61111111
Physicians + conventional resources only,58.69565217
Physicians + conventional resources only,48.75
Physicians + conventional resources only,61.11111111
Physicians + conventional resources only,32.08955224
Physicians + conventional resources only,30.55555556
Physicians + conventional resources only,45.65217391
Physicians + GPT-4,21.875
Physicians + GPT-4,70.37037037
Physicians + GPT-4,8.955223881
Physicians + conventional resources only,26.25
Physicians + conventional resources only,55.55555556
Physicians + conventional resources only,29.10447761
Physicians + conventional resources only,27.77777778
Physicians + conventional resources only,52.17391304
Physicians + GPT-4,37.5
Physicians + GPT-4,48.14814815
Physicians + GPT-4,38.80597015
Physicians + GPT-4,33.33333333
Physicians + GPT-4,47.82608696
Physicians + conventional resources only,47.5
Physicians + conventional resources only,46.2962963
Physicians + conventional resources only,52.98507463
Physicians + conventional resources only,69.56521739
Physicians + conventional resources only,26.25
Physicians + conventional resources only,35.18518519
Physicians + conventional resources only,24.62686567
Physicians + conventional resources only,20.83333333
Physicians + conventional resources only,34.7826087
Physicians + conventional resources only,46.2962963
Physicians + conventional resources only,45.14925373
Physicians + conventional resources only,38.88888889
Physicians + conventional resources only,54.34782609
Physicians + conventional resources only,22.5
Physicians + conventional resources only,31.48148148
Physicians + conventional resources only,20.14925373
Physicians + conventional resources only,18.05555556
Physicians + conventional resources only,65.2173913
Physicians + GPT-4,37.5
Physicians + GPT-4,64.81481481
Physicians + GPT-4,71.73913043
Physicians + GPT-4,31.34328358
Physicians + GPT-4,37.5
Physicians + GPT-4,71.73913043
Physicians + conventional resources only,44.44444444
Physicians + conventional resources only,27.6119403
Physicians + conventional resources only,34.72222222
Physicians + conventional resources only,45.65217391
Physicians + GPT-4,30
Physicians + GPT-4,50
Physicians + GPT-4,29.85074627
Physicians + GPT-4,23.61111111
Physicians + GPT-4,52.17391304
Physicians + GPT-4,31.48148148
Physicians + GPT-4,30.59701493
Physicians + GPT-4,47.82608696
Physicians + conventional resources only,12.5
Physicians + conventional resources only,57.40740741
Physicians + conventional resources only,11.94029851
Physicians + conventional resources only,38.88888889
Physicians + conventional resources only,35
Physicians + conventional resources only,51.85185185
Physicians + conventional resources only,29.85074627
Physicians + conventional resources only,25
Physicians + conventional resources only,52.17391304
Physicians + GPT-4,18.75
Physicians + GPT-4,51.85185185
Physicians + GPT-4,26.11940299
Physicians + GPT-4,26.38888889
Physicians + GPT-4,39.13043478
Physicians + GPT-4,23.75
Physicians + GPT-4,40.74074074
Physicians + GPT-4,23.13432836
Physicians + GPT-4,20.83333333
